,맥주정보,검색이름,맥주이름
0,"Rubin77(6,380)
🇧🇪Brussels, Belgium
1.5September 3, 2019
0,5l bottle from friend. Big, white, average retention head. Gold, clear. Aroma is malty, skunky, bit glue, sweet herbal. Taste is ligh malty, skunky, herbal, bit sweet grassy, medium…
Show more
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
6",Sphinx,Sphinx Classic
1,"suurjuust(4,492)
🇪🇪Estonia
2.2April 27, 2014
Golden, frothy white head. Nose is corn, grain, some sweetness. Flavour is some malt, some sweetness, some hops in the finish. More malt character than I expected.…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
3
Overall
10",Sphinx,Sphinx Classic
2,"mike_77(10,849)
🇳🇱Breda, Netherlands
2.3April 21, 2013
Notes from 2011...   Light yellow colour. Creamy white head. Has a reasonably bitter flavour and quite a dry finish. Slightly metallic aftertaste. (Brewed & bottled by Al Masria Co.)
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Sphinx,Sphinx Classic
3,"DruncanVeasey(10,293)
🇬🇧Nr NUNEATON, England
2.0April 18, 2013
500ml bottle on the...’terrace’ in Egypt, 04/04/13- my numerical 6000th. Dull gold with a short-lived collar of froth. Aroma of coppers, glue, thistle, breakfast cereals and rusty…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Sphinx,Sphinx Classic
4,"faroeviking(13,770)
🇫🇴Mikið av bjórið rennur í heilum, Faroe Islands
1.6February 4, 2013
Botella, bought some where in Nama Bay, Egypt. Unclear ywllow with tiny floaties. Grainy sweet corn unpleasant aroma. Thin mouthfeel. Flavour of grain, bad veggies bit,…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Sphinx,Sphinx Classic
5,"brnandersen(6,168)
🇩🇰Copenhagen, Denmark
1.5January 31, 2013
Sample from 33 cl. bottle. Darker golden colour with some unrecognizable lumps floating around. Small white head. Weak aroma with grains, grasses, pale malts and a bit of…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Sphinx,Sphinx Classic
6,"Theis(15,148)
🇩🇰Frederiksberg, Denmark
1.5January 30, 2013
Bottle in the train, going to Valhal Ølfest - Thanks to Jacob. Cloudy golden - white head. orn, burned plastic, metallic, skunky, light light nalty notes, plastic jug aged.....
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Sphinx,Sphinx Classic
7,"joergen(36,568)
🇩🇰Frederiksberg, Denmark
1.7January 27, 2013
Bottle in a train to Frederikssund. 
Cloudy golden coloured with a medium sized white…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Sphinx,Sphinx Classic
8,"Ungstrup(46,680)
🇩🇰Citizen of the universe, Denmark
2.0January 26, 2013
Bottled. a dark golden beer with floaties under a white head. The aroma has notes of straw and malt. The flavor is sweet with notes of malt, grain, cardboard, and hay, leading to a…
Show more
Aroma
5
Appearance
1
Flavor
3
Mouthfeel
3
Overall
8",Sphinx,Sphinx Classic
9,"yespr(54,636)
🇩🇰Copenhagen, Denmark
1.6January 26, 2013
33 cl bottle. Pours hazy yellow with a small white head. Skunky and grassy aroma. Sweet toasted malty and cornish light grassy. Bitter and toasted malty.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Sphinx,Sphinx Classic
