,맥주정보,검색이름,맥주이름
0,"GuideDogSaint(2,549)
🇨🇳Xiamen, China
1.9January 14, 2020
600ml bottle from a 7-11 in Bangkok. Drunk from the bottle. Aroma of malt. Sweet grain taste. Some bitterness in the finish.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cheers,Cheers Lager Beer
1,"solidfunk(14,416)
🇺🇸Washington D.C., United States
1.0November 28, 2019
Not a very nice one. Go for a Chang in green bottle or a Leo instead. Gets pretty foul pretty quick as it warms up. Golden piss colour. Cloying sourish aftertaste. Can.
CAN
Aroma
1
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",Cheers,Cheers Lager Beer
2,"SilkTork(6,894)
🇬🇧Southampton, United Kingdom, England
2.4October 26, 2019
Oct 2019. Big can from Family Mart in During the rugby world cup with Zelie. Slightly creamy standard global lager. No character or quality but inoffensive.
CAN
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Cheers,Cheers Lager Beer
3,"dimeon(1,602)
🇿🇦Johannesburg, South Africa
2.6July 9, 2019
Backlog. Clear gold with a small white head. Local Thai beer. Yellow fizzy stuff.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Cheers,Cheers Lager Beer
4,"Piepenhenrich(2,457)
🇩🇪Steinbach, Germany
2.3May 20, 2019
Not too bad for a Lager. Light golden with a decent white head. Taste is light grainy, body tends to be watery. A very gentle bitterness saves the day.
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
5",Cheers,Cheers Lager Beer
5,"ResinousLiquids21(3)
1.7October 15, 2018
Not a bad beer if on a budget. Enjoyable slow drink but nothing special. A little sweetness.
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
3
Overall
4",Cheers,Cheers Lager Beer
6,"Yarowind(291)
🇷🇺Moscow, Russia
2.3March 4, 2018
Обычный классический тайский лагер без изысков и явных провалов. Для жары и острых блюд.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Cheers,Cheers Lager Beer
7,"jinroh(4,531)
🇪🇪Estonia
2.1February 27, 2018
Can from a convenience store, Phuket, Thailand. Pours white, sort of watery. Nose has some plastic biscuits, nothing nice. Tastes biscuity and watery, not that flavourful and spiced…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Cheers,Cheers Lager Beer
8,"NoblePours7(1)
4.0January 19, 2018
รสชาติถูกคอมากขึ้น เมื่อเทียบกับครั้งก่อนปรับสูตร ปัจจุบันเป็นยี่ห้อที่ดื่มประจำไปแล้ว
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cheers,Cheers Lager Beer
9,"caketm(3,306)
🇵🇱Czestochowa, Poland
2.0January 3, 2018
Butelka 0,5 l. Wypita podczas pobytu w Tajlandii w październiku 2016. Jasno złota barwa, klarowna. Słabej jakości lager. Nic wartego uwagi.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cheers,Cheers Lager Beer
10,"sephyrott(677)
2.3June 29, 2017
490ml from can drunk at the beach. This is an important point to consider, since this beer was cold-ice it fell incrediblely well. Nothing special with this lager, but at least…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Cheers,Cheers Lager Beer
11,"Nische(3,724)
🇸🇪Stockholm, Sweden
2.0April 26, 2017
Can from 7/11. Light golden colour with a disappearing white head. Light malty with a just a hint of cooked vegetables and cardboard. Sweet and slightly fruity, but fairly well balanced…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Cheers,Cheers Lager Beer
12,"Icedwarf(3,082)
🇳🇱Etten-Leur, Netherlands
1.6November 3, 2016
Bill 0.5L van 7-11 Chang Mai. Header lichtgeel bier met weinig schuim. Smaak is erg vlak en licht, maar indien goed gekoeld hier goed te drinken.
Aroma
2
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Cheers,Cheers Lager Beer
13,"Koelschtrinker(28,840)
🇩🇪Brewver-Town, Germany
1.9October 31, 2016
Heller, mild süßer Antrunk. Minimal herb, wenig würzig, trocken. Langweilig. 10/6/7/6/6/6
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Cheers,Cheers Lager Beer
14,"kdd230(107)
🇬🇧Carshalton, England
2.1May 18, 2017
Large bottle in Mae Sot, Thailand. A standard golden yellow lager. Par for the course for SE Asia. Very little aroma or taste. Slight grains and malt. Watery. A very neutral pale…
Show more
Aroma
2
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Cheers,Cheers Lager Beer
0,"Berns71(1)
🇹🇭Prachinburi, Thailand
3.7April 12, 2016
A good easy drinking beer if you take into consideration what the local beers have to offer. The X-tra variety is far more palatable.
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
16",Cheers,Cheers Lager Beer
1,"Bygers(1,187)
🇳🇴Oslo, Norway
1.9February 11, 2016
Can 0,5l. Pours a pale golden color with medium head. Aroma of malt, grain and flowers. Taste of malts and hops.…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Cheers,Cheers Lager Beer
2,"mile(4,636)
🇫🇮Helsinki, Finland
1.1February 4, 2016
Can. Light golden, small to average and fully diminishing head. Really light, malty - lightly grainy and lightly sweetish aroma, light cardboard and faint metal. Body is really light,…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",Cheers,Cheers Lager Beer
3,"Erzengel(12,957)
🇩🇪Saarland, Germany
1.5February 3, 2016
* Bottle in Thailand. Smooth grainy neutral beginning. Grain, hints of sweetness. Easy to drink with no bitterness. Ok stuff.
Aroma
2
Appearance
4
Flavor
2
Mouthfeel
4
Overall
3",Cheers,Cheers Lager Beer
4,"Manslow(2,536)
🇵🇱Warsaw, Poland
1.9February 1, 2016
Puszka 0,5l,zakupione na Giełdzie w Warszawie 01.2016, kolor złoty, klarowny, piana znikoma szybko znika. Nagazowanie dobre. Aromat lekko zbożowy,smak chlebowy…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
3
Overall
6",Cheers,Cheers Lager Beer
5,"StevieT(2,007)
🇦🇺Australia
1.4December 30, 2015
From a can. Pretty much what you would expect from a mass production lager designed to be slammed down fast in tropical heat.
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Cheers,Cheers Lager Beer
6,"stephenco(54)
🇵🇭Makati, Philippines
2.2November 11, 2015
490 ml can from Bangkok supermarket. Lasting head with good lacing. Dark yellow, hoppy lager.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
10",Cheers,Cheers Lager Beer
7,"Piw(2,007)
🇩🇪Rüsselsheim, Germany
2.0October 18, 2015
490ml Dose. Klar und golden. Mittelgrosse, weisse Schaumkrone. Milder Geschmack. Typisches Industrielager.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cheers,Cheers Lager Beer
8,"danielyabu(2,161)
🇧🇷União da Vitória, Brazil
2.7April 15, 2015
huge White frothy creamy head. excellent lacing. mostly lasting. sparkling clear dark yellow thin body. aroma: light bread, moderate yeasty, metal, light hoppy. if and ff: light…
Show more
Aroma
3
Appearance
3
Flavor
6
Mouthfeel
4
Overall
11",Cheers,Cheers Lager Beer
9,"kermis(18,397)
🇳🇱Amsterdam-ish, Netherlands
2.0March 28, 2015
Can shared thanks to jmgreenuk. Pours clear golden with a ring white head. Aroma of grain, malt and caramel. Flavor is light to moderate sweet. Light bodied with light carbonation.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Cheers,Cheers Lager Beer
10,"dEnk(4,200)
🇳🇱Den Haag, Netherlands
1.8March 28, 2015
Bottle @ tht. Aroma is hay, malt, grains. Flavour is hayish grains, some malt. Meh.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
3
Overall
7",Cheers,Cheers Lager Beer
11,"sic1314(4,770)
🇳🇱Leiden, Netherlands
1.8March 28, 2015
Poured straw with a white ring. Aroma of sweet chemical malt. Light body, flavour is lightly sweet and horribly chemical.
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Cheers,Cheers Lager Beer
12,"Vaiz(4,459)
🇳🇱Den Haag, Netherlands
2.0March 28, 2015
Bottle at Jim leaves for Malaysia tasting @ ABCBeers. Clear golden pour, thin white head. Aroma of grainy malts, spicy, hay and sugar water. Flavor is sweet, watery, grainy. Bad.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Cheers,Cheers Lager Beer
13,"jmgreenuk(14,586)
🇲🇾Kuala Lumpur, Malaysia
1.4March 28, 2015
Can from a Bangkok supermarket. Poured a crystal clear straw colour with a thin broken white head. The aroma is light sweet malt. The flavour is light bitter with a lght watery…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Cheers,Cheers Lager Beer
14,"MiP(18,140)
🇩🇰Sønderborg, Denmark
1.9March 7, 2015
Can, 5.0%. Fresh rough grain aroma. Clear dark golden colour. Very small white head. The flavour is bready, almost has a note of molasses. Odd for the style. Late vinous…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
5",Cheers,Cheers Lager Beer
0,"martin00sr(8,110)
🇩🇰Haderslev, Denmark
1.6March 7, 2015
Clear golden, airy white head. Faint, malty aroma. Malty flavour with strange bitterness turning slightly rough.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cheers,Cheers Lager Beer
1,"Bamsen78(7,139)
🇩🇰Sønderborg, Denmark
1.4March 7, 2015
Can @ The Unholy Trinity Meets Again, Sønderborg. Pours darkish golden with airy white head. Clear aroma of fart, skunk and yeast, with some hoppy and malty touches.…
Show more
Aroma
2
Appearance
3
Flavor
3
Mouthfeel
2
Overall
4",Cheers,Cheers Lager Beer
2,"ebarnes(262)
🇺🇸Beech Grove, United States
2.0March 1, 2015
A Belgian ale made in Thailand. Very weak with no ties to anything Belgian except maybe Jupiler Blue.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Cheers,Cheers Lager Beer
3,"kryon(4,719)
🇸🇪Hässelby, Sweden
2.3January 18, 2015
Pours hazy yellow woth medium fluffy White head
Aromas is as boring as it gets. Old wet malts, lager yeast…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Cheers,Cheers Lager Beer
4,"olliejobbins(1,576)
🇬🇧Dorking, England
1.8November 7, 2014
330ml bottle purchased in siem reap, Cambodia. Clear yellow pour. Both aroma and taste are the usual ""inoffensive"" Asian mass produced lager. Weak barley, slightly slunky but…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Cheers,Cheers Lager Beer
5,"jgb9348(8,700)
🇺🇸Arlington (Pentagon City), United States
1.2July 2, 2014
Clear pale golden coloured body with a very thin white head. Aroma of light malt, rice and a hint of lemon. Light-bodied; Strong malty flavour with a touch of cool citrus and mostly…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",Cheers,Cheers Lager Beer
6,"Dzhigga(349)
🇷🇺Kirov, Russia
2.6May 6, 2014
Can. Pale golden color with medium fast-disappearing head. Nice aroma of malt, grain and flowers. Taste is very smooth and sweet and without any hops unfortunately. They say it's…
Show more
Aroma
7
Appearance
3
Flavor
5
Mouthfeel
1
Overall
10",Cheers,Cheers Lager Beer
7,"czlowiekwiadro(2,221)
🇵🇱Poland
2.0March 19, 2014
typowy lager koncernowy. niczym się nie wyróżnia od innych z tego rodzaju tańszych piw.
Aroma
3
Appearance
4
Flavor
4
Mouthfeel
3
Overall
6",Cheers,Cheers Lager Beer
