,맥주정보,검색이름,맥주이름
0,"MarkoNm(4,662)
🇸🇮Novo mesto, Slovenia
2.1August 10, 2020
Bottle. Clear yellow golden, medium white head, ok lasting. Malty nose, some honey notes are quite noticeable. Milder bitterness, quite metallic. Light body. Typical macro.
CAN
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Calanda,Calanda Lager
1,"PellicleLiquids49(2)
🇨🇭Birmensdorf, Switzerland
3.0July 22, 2020
This is my ""go to"" Swiss lager in a can (OK a low bar!). Looks great in a glass and has a more bready/grainy flavour profile than the usual mega brewery lager offerings in Switzerland.
CAN
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Calanda,Calanda Lager
2,"Craftakt(871)
🇩🇪Hannover, Germany
2.6April 5, 2020
Durschnittlich belangloses und wässriges Lager mit leicht malzigen Strohnoten
CAN
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
9",Calanda,Calanda Lager
3,"mjs(9,642)
🇫🇮Helsinki, Finland
1.7September 16, 2019
(Keg at Versoix Yacht Club, 20190916) The beer poured golden and clear. Its head was medium sized and white. Aroma had sweetness. Palate was medium bodied with…
Show more
Aroma
2
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Calanda,Calanda Lager
4,"ophone(1,379)
🇱🇺Luxembourg
2.4September 2, 2019
Clear golden with a medium head.
Strawy smell of yeast. Watery, malty taste. Not special but very smooth and drinkable.
CAN
Aroma
6
Appearance
2
Flavor
4
Mouthfeel
3
Overall
9",Calanda,Calanda Lager
5,"R4N5H(2,063)
🇬🇧London, England
3.0August 26, 2019
On tap at Hotel Piz Buin, Klosters on 28-Jul-2019. Clear pale ale with a medium sized white head. Aroma of grain and crystal malt. Taste is clean and crisp. A little citrus with…
Show more
TAP
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Calanda,Calanda Lager
6,"dorain(1,684)
🇩🇪Berlin, Germany
1.4July 13, 2019
Aus der Flasche im 2014-06 getrunken. Es kommt mir vor als ob hier das typische Heineken nur unter anderen Namen verkauft wird. Ein Bier wie man sie nur zu oft in den…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
1
Overall
4",Calanda,Calanda Lager
7,"ct-5555(3)
5.0July 8, 2019
Need there be any description?
Undoubtedly the greatest beer of all time, or at least here in Switzerland, and we all love it!…
Show more
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Calanda,Calanda Lager
8,"downender(10,501)
🇬🇧Bristol, England
2.7June 11, 2019
Can. Golden in colour, with a slight, white, head and moderate carbonation. An easy drinking lager with a touch of hop, white bread malts and a solidly bitter finish. Ok.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
11",Calanda,Calanda Lager
9,"TomHendriksen(4,141)
🇳🇱Netherlands
2.6May 8, 2019
Fles gekregen van PatrickdJ. Het is een goudgeel bier met een medium wit schuim. Het heeft een moutige geur. De smaak is moutig en wat waterig.
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
9",Calanda,Calanda Lager
10,"Goldbarren(3,666)
🇦🇹Vienna, Austria
2.2March 4, 2019
Das Calanda ist ein Bier, das man in der Schweiz an jeder Ecke trifft. Es entspricht etwa dem österreichischen Gösser, dem deutschen Krombacher oder dem tschechischen…
Show more
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Calanda,Calanda Lager
11,"sparta(2,208)
🇪🇪Pärnu, Estonia
3.4October 17, 2018
Õlle on selline jook, et iga uus kord kui klaasi või pudeli suule tõstad, siis leiad midagi uut, sõltuvalt tuhandest-miljonist pisiasjast, mis hetke olukorda mõjutavad. Seega kirjutan…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Calanda,Calanda Lager
