,맥주정보,검색이름,맥주이름
0,"Wim(5,297)
🇧🇪Weelde, Belgium
2.7March 24, 2020
bedankt aan mijn vriendin els om dit bier mee te brengen uit zuid afrika gedronken bij mij thuis een goud blond kleurig lichaam met een witte kop en met een graan mout hop…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",CBC,CBC Pilsner
1,"dimeon(1,602)
🇿🇦Johannesburg, South Africa
3.4June 14, 2019
Another great beer by CBC! Light, but with a great malty full mouthfeel and just the right amount of hops.
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",CBC,CBC Pilsner
2,"martin00sr(8,110)
🇩🇰Haderslev, Denmark
3.2February 9, 2019
Clear golden, white head. Malty aroma, light floral notes. Flavour is malty with some biscuits and decent hoppy bitterness. Some malty sweetness in the finish.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",CBC,CBC Pilsner
3,"sccp1910(503)
🇧🇷Brazil
3.1March 10, 2018
Uma pilsen leve e refrescante, mas com amargor mais forte. Amarela clara e espuma branca.
Aroma
5
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",CBC,CBC Pilsner
4,"jbruner(8,196)
🇺🇸Davis, United States
3.5February 24, 2018
Pours a clear gold on tap with fluffy white head that lasts forever. Aroma of nice grassy hop notes over light hay and biscuit malt. Taste follows, clean and crisp, nice light…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
13",CBC,CBC Pilsner
5,"davidf93(270)
🇿🇦Stellenbosch, South Africa
2.7September 23, 2017
See through yellow, white head with lacing. Quite crispy, some carbonation. Starchy aroma.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",CBC,CBC Pilsner
6,"Rask0lnikov(2,713)
🇪🇪Tallinn, Estonia
3.2June 22, 2017
Bottle. Pours golden yellow colour. Moderate white head. Aroma of corn syrup, grainy notes, grassy notes in the aroma. Caramel, grain, grassy notes in the taste. Bit grainy…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
2
Overall
13",CBC,CBC Pilsner
7,"BeerLieutenant38(296)
🇿🇦Cape Town, South Africa
3.7February 16, 2017
Clear golden appearance, crisp flavor and nice hop bitterness to the finish. Always deliciously refreshing, this has been a ’go to’ beer for me in the last couple of years.
Aroma
6
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",CBC,CBC Pilsner
8,"labeerinthum(4,900)
🇮🇹Milano, Italy
2.7December 24, 2016
Bottle courtesy of Giulia B. Il gusto al naso è floreale e speziato. L’intensità olfattiva è ricca e la persistenza olfattiva è pregevole. Il cappello è di schiuma abbondante e dalla…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",CBC,CBC Pilsner
9,"Scopey(20,933)
🇬🇧Oldmeldrum, Scotland
3.0October 30, 2016
Keg at Beerhouse on Long. It pours crystal-clear gold with a medium white head. The aroma is predominantly bready, lemonade, straw, hay and cracker. The taste is crisp, clean,…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",CBC,CBC Pilsner
10,"anders37(30,936)
🇸🇪Malmö, Sweden
3.1October 10, 2016
Bottle. Pours a clear pale yellow color with a long-lasting white head. Has a fruity malty grainy weak grassy aroma. Fruity malty grainy crisp grassy flavor. Has a fruity malty…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",CBC,CBC Pilsner
11,"Beerclubsa(147)
🇿🇦Strand, South Africa
3.9September 5, 2016
Pours a crystal clear gold with a rocky white head with good retention. Aromas of grainy sweet malt and some earthy/herby hops. Flavor is grainy-sweet cracker-like malts…
Show more
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",CBC,CBC Pilsner
12,"Travlr(30,304)
🇺🇸No fixed abode, United States
3.7May 15, 2016
Draft at Beerhouse. Crystal clear golden color, fluffy white head. Aroma of subtle pepper and freshly cut hay. Taste is clean, crisp, lightly peppery, quick finish. Very tasty.
Aroma
8
Appearance
3
Flavor
9
Mouthfeel
3
Overall
14",CBC,CBC Pilsner
13,"Turtles(3,710)
🇸🇪Stockholm, Sweden
2.5March 4, 2016
440ml bottle from Systembolaget, Borlänge. Clear pale golden, large white head, requires several pours in the glass, good lacing. Nothing too much going on in the smell or tast…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",CBC,CBC Pilsner
