,맥주정보,검색이름,맥주이름
0,"Suco(1,142)
🇪🇸Castellon, Spain
2.8November 19, 2019
Color marrón rojizo, cristalina. Dos dedos de espuma con buena retención. Aroma a cereal tostado y notas herbales. Gusto a malta tostada, ligera galleta, caramelo y amargor…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Boli,Boli Premium
1,"PubRespek15(322)
🇳🇴Norway
2.0July 31, 2019
This a ok lager. Flavour is similarly biscuity, bread, grass, touch of floral. Mouthfeel is thinner bodied, crisp and refreshing, but otherwise bland without too much flavour.
CAN
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
7",Boli,Boli Premium
2,"Juks(4,446)
🇪🇪Tallinn, Estonia
2.2July 26, 2019
Tap. Clear yellow colour, small white head. Aroma is malty, quite sweet, grainy. Taste is grainy, malty, quite dry. Crisp finish. Light body, high carbonation. Macro lager
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Boli,Boli Premium
3,"Bosbouw(3,364)
🇳🇱Brabant, Netherlands
2.2July 9, 2019
Uit de fles. Ruikt zoetig en moutig. Smaakt zoetig en moutig. Weinig bitter.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Boli,Boli Premium
4,"mcberko(32,007)
🇨🇦Vancouver, Canada
1.9June 17, 2019
On tap at Bjórgarðurinn, pours a clear blonde with a small white head. Aroma brings out straw, grassy notes, and cereal grains. Flavour is cheap and watery, with grassy notes, herb…
Show more
TAP
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Boli,Boli Premium
5,"BarleyTeam16(116)
3.2January 19, 2019
Etwas trübe Farbe. Hat eine kleine Schaumkrone. Getreidig erdiger Geruch. Der Abtrunk ist erfrischend prickelnd. Süßlicher Körper mit ausgeprägten malziger Röstaromen. I…
Show more
TAP
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Boli,Boli Premium
6,"DejanSt(1,746)
🇸🇰Trencin, Slovakia
3.1June 10, 2018
Pri Gejzire flasa z restauracie. Sladova vona. Pena ziadna. Medova farba. Chut sladova vyrazne chmelova. Na konci ostava.
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
3
Overall
13",Boli,Boli Premium
7,"brnandersen(6,168)
🇩🇰Copenhagen, Denmark
2.5July 13, 2017
Draught at Kex Hostel, Reykjavik. Clear golden colour with a thin white head. Sweet aroma with grasses, pale malts, bread and a lightly toasted note. Taste is light sweet. Medium…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Boli,Boli Premium
8,"solidfunk(14,416)
🇺🇸Washington D.C., United States
0.9April 22, 2017
Prettt foul on the grand scheme of things like giant plastic ocean trash islands. Pours golden with ok head. Tangy adjunct finish. Not as good as Viking or Gull. Bottle for $10…
Show more
Aroma
1
Appearance
2
Flavor
2
Mouthfeel
1
Overall
3",Boli,Boli Premium
9,"LazyPyro(5,281)
🇬🇧Cheltenham, England
2.9January 30, 2017
330ml bottle brought back from Iceland by my sister. Clear pale golden with a small white head. Aroma: sweet malt, some fruitiness, slight floral/herbal notes. Taste: sweet…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Boli,Boli Premium
10,"Rune(19,781)
🇳🇴Tromso, Norway
2.4September 4, 2016
500ml can kindly shared by Magne. Pours a huge, rocky white head, solid lacing. Clear (dark) golden body. Pale malty smell with some moments of herbal hops. Light ripe fruity flavour…
Show more
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
3
Overall
9",Boli,Boli Premium
11,"Manslow(2,536)
🇵🇱Warsaw, Poland
2.3August 31, 2016
Pite z puszki. Aromat słodowy słabo wyczuwalny, trochę cytrusów. W smaku słodkawe póżniej na finiszu lekko wytrawne, nic szczególnego.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
8",Boli,Boli Premium
12,"berkshirejohn(8,420)
🇬🇧Bracknell, England
2.8November 25, 2015
Can at Glymur Hotel, Hvalfjörður, Iceland. Golden amber with a fast fading white head; grainy aroma; syrupy body with a pleasant bitterness. Rather plain and ordinary.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
9",Boli,Boli Premium
13,"Tranquillity(3,523)
🇨🇦Toronto, Canada
2.1September 27, 2015
Quite dark body, almost half red. Not much aroma, some yeast, but not bad. The taste is nice, full with a hoppy finish.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Boli,Boli Premium
14,"Cunningham(11,394)
🇳🇴Halden, Norway
2.6September 3, 2015
Yellow color with a fine white head. Medium body. Moderate sweet and a moderate bitterness. Decent standard lager. Mild malty and mild herbal.…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Boli,Boli Premium
0,"Rolfarild(235)
🇳🇴Norway
2.0August 8, 2015
Clear golden with a small, white head that don’t last. Aroma of honney-wax, citrus and pilsner malt. Taste honney, apples, malt. Sweetnes and faint bitterness in the aftertaste.
Aroma
3
Appearance
2
Flavor
5
Mouthfeel
3
Overall
7",Boli,Boli Premium
1,"gunnar(13,550)
🇳🇴Sandnes, Norway
3.3April 23, 2015
On tap at Solon, Reykjavik. Pours clear golden with a small creamy white head. Weak malty aroma. Taste is light crisp and dry, with a nice filling mouthfeel. Ordinary lager +
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
13",Boli,Boli Premium
2,"Travlr(30,304)
🇺🇸No fixed abode, United States
3.0March 1, 2015
Draft on National Beer Day in Iceland. Clear golden color, thin white head. Aroma of black pepper and straw. Taste is peppery straw.
Aroma
8
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Boli,Boli Premium
3,"BeerandBlues2(17,649)
🇺🇸Woodland Park, United States
1.9March 1, 2015
Tap at Grand Hotel - Reykjavik. Pours clear gold with a medium, frothy white head, short retention with light lacing. Aroma is sweet Pils and corn malt with light spicy hops.…
Show more
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Boli,Boli Premium
4,"Geokkjer(7,700)
🇳🇴Kristiansand, Norway
3.0October 18, 2014
Bottle. Pours golden with an off-white head. Aroma of malt, some citrus, fruitiness, floral notes and pear. Flavor is sweet and fruity with some malt, some floral notes and slight…
Show more
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
12",Boli,Boli Premium
5,"Meilby(13,072)
🇳🇴Kristiansand, Norway
2.6October 25, 2014
Bottle 330ml @ Geokkjer…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Boli,Boli Premium
6,"Reimer96(1,743)
🇨🇦Canada
2.4October 16, 2014
Clear medium gold pour with a small white head that dissipates quickly. Aroma of sweet pale malts and fruity esthers. Taste is sweet crisp pale malts with alot of fruity…
Show more
Aroma
6
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Boli,Boli Premium
7,"pentaz(1,393)
🇩🇰København, Denmark
2.6August 6, 2014
Bottle. Pours clear golden with a small off-white head. Aroma is sweet with grain, maize, mild grass, cereal and honey. Taste is near moderate sweet and light bitter. Body is light+,…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Boli,Boli Premium
8,"fiulijn(26,305)
🇨🇦Vancouver, Canada
2.7July 10, 2014
Bottle from Vínbúðin
Blond color. Some malt aroma and flavor; the mouthfeel is quite round for an industrial Lager; ordinary bitterness.…
Show more
Aroma
6
Appearance
2
Flavor
5
Mouthfeel
2
Overall
12",Boli,Boli Premium
9,"DuffMan(10,981)
🇨🇦the land of bitumen, beef & beer, Canada
2.5April 13, 2014
Bottle, after our Blue Lagoon swim in gale-force winds and driving needle-like sleet. I drank this straight from the bttle, so I’m going to assume it has a standard gold lager…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
11",Boli,Boli Premium
10,"Eirikur(386)
🇮🇸hafnarfjordur, Iceland
2.8January 7, 2014
Not bad aroma for this style. 
Pours a medium dense head, pale golden colour.…
Show more
Aroma
4
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Boli,Boli Premium
11,"3fourths(9,493)
🇺🇸Boulder, United States
2.7December 6, 2013
A simple ester-heavy pale lager with notes of grain and gum and fruit cocktail and minerals and metal. Light body, mostly clean, low bitterness, saccharine sweetness. No major…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Boli,Boli Premium
12,"alkolas510(2,161)
🇸🇪Göteborg, Sweden
1.5August 8, 2013
Ljus tråkig lager som inte smakade något. Dåligt med kolsyra och bara väldigt trist!
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
3",Boli,Boli Premium
13,"gnoff(11,277)
🇸🇪Göteborg, Sweden
2.6April 21, 2013
Sampled bottled at ""En öl & whiskymässa"" in Göteborg, on April 13, 2013.
Clear golden color, white head. Sweet, malty scent. Sweet,…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Boli,Boli Premium
14,"Foxbush(2,816)
🇺🇸Richmond, United States
2.4April 2, 2013
.3 l bottle  This was tasted in Iceland at the Fontana Spa.  The beer poured a clear golden color with a big white head.  The aroma was of grain.  There was some taste of straw.  The…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Boli,Boli Premium
0,"after4ever(8,025)
🇺🇸Mukilteo, United States
2.9February 2, 2013
330 at Keflavik Airport. Very clear, fizzy, pale gold. Loose whitish head. Sweet and skunky nose Some metal showing. Fizzy watery body...skunky metal mid palate with a vegetal…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Boli,Boli Premium
1,"markas101(2,671)
🇺🇸Ann Arbor, United States
3.3August 9, 2012
50 cl can, Boli Premium, Reykjavik, Iceland at Palmi and Adal’s. Deep gold, active carbonation.  Fresh aroma, honey and spice. Spicy hop flavour, citrus and pepper on the finish.
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Boli,Boli Premium
2,"cubs(10,772)
🇺🇸Fort Collins, United States
1.4June 27, 2012
Bottle labeled ""Egils Boli Premium."" I think this is just a relabel but I’ll move it off need be. I was chatting with some drunk Icelanders and they were chugging this shit, so I…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
4",Boli,Boli Premium
3,"bjakk(928)
🇮🇸Skagafjordur, Iceland
2.9April 26, 2012
Golden  in the glass, white fome that lasts well. Mold hobs smell. A lot of carbon, ticles the mouth. A light bitternes, light sweet flavour, strong aftertaste…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
13",Boli,Boli Premium
4,"kiwianer(4,070)
🇳🇿Otorohanga, New Zealand
2.6March 24, 2012
Vielen dank an Jürgen für dieses Bier! Die Schaumkrone ist ok, farblich goldgelb. Der Geruch ist etwas würzig. Geschmacklich  ist es würzig, malzig, etwas süßlich, kaum…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Boli,Boli Premium
5,"omhper(30,806)
🇸🇪Tyresö, Sweden
2.5December 24, 2011
Canned. Clear golden, small head. Sweet, fruity and bready. Medium bodied with rounded mouthfeel. Some butter. Low bitterness.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Boli,Boli Premium
6,"EHSRanders(2,267)
🇩🇰Tjele, Denmark
2.4October 14, 2011
Can. Clear golden colour with large creamy white mostly lasting head. Malty aroma. Sweet flavor. Bitter finish.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Boli,Boli Premium
7,"Sigmund(10,894)
🇳🇴Tau, Norway
1.6October 13, 2011
500 ml can, as Egils Premium Export, from Rúsan, Tórshavn. ABV is 5.7%. Pale golden colour, large white head. Moderate sweetish ""industrial"" aroma, hints of wet cardboard. The…
Show more
Aroma
2
Appearance
4
Flavor
3
Mouthfeel
2
Overall
5",Boli,Boli Premium
8,"saxo(24,777)
🇩🇰Højbjerg, Aarhus, Denmark
2.3April 22, 2011
Bottle. Medium head with medium duration. Color is golden. Aroma and taste are malt, grass and hops. Nice bitter finish.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Boli,Boli Premium
9,"gyllenbock(13,546)
🇸🇪Stockholm, Sweden
1.7March 27, 2011
Can in Reykjavik, Iceland.…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Boli,Boli Premium
10,"trapez(1,561)
🇩🇰Hilleroed, Denmark
2.3October 6, 2010
Can. Aroma of barley malt. Golden yellow colour with soft white head. distinct barley malt flavour with a mild hops bitterness. a positive surprise.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Boli,Boli Premium
11,"ChadPolenz(1,847)
🇺🇸Lakeland, United States
2.7August 2, 2010
Aroma: generic Eurotrash pale lager scent - grainy, some skunkiness…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
4
Overall
11",Boli,Boli Premium
12,"OleR(4,799)
🇳🇴Oslo, Norway
1.9July 29, 2010
0.5L can shared by KnutAlbert. Fully diminishing coarse white head. Bright yellow colored body. Stale, metal-scented hops up front. Then a smell of light sourish bready malts. Taste…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Boli,Boli Premium
