,맥주정보,검색이름,맥주이름
0,"caribou43(2,204)
🇨🇭Lausanne, Switzerland
2.7March 5, 2016
It is a drinkable lager, nothing more. In Peru, they made an advertising with the famous cooker G.Acurio to make a promotion of this beer but to be sincere you have better…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
9",Franca,Franca Especial
1,"DrNosha(5,867)
🇩🇪Württemberg, Germany
2.2October 20, 2015
360ml Flasche. Hellgelbe Farbe, wenig Schaum. Hopfiger Duft. Herber Antrunk im Abgang süß. Es gibt schlechtere südamerikanische Biere.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
7",Franca,Franca Especial
2,"jamaty(2,548)
🇪🇸Madrid, Spain
2.8June 17, 2015
Dorada clara, con abundante espuma de dos, tres dedos. Aroma ligero malteado. Sabor ligeramente dulce y final largo algo amargo. Refrescante y bebible. Siendo normal es de lo…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
10",Franca,Franca Especial
3,"Reconqvista(339)
🇪🇸Madrid, Spain
2.3May 11, 2015
Bright golden color beer with a beige small head that disappears quickly. Aroma is malty and grassy, with herbal notes. Flavor is sweet with straw hints; no real bitterness.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
7",Franca,Franca Especial
4,"olliejobbins(1,576)
🇬🇧Dorking, England
2.8August 1, 2014
360ml bottle. Pours a clear yellow with thin white head. Aroma is very hoppy as is the taste. Not too sweet. Really not a bad lager actually.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Franca,Franca Especial
5,"Theis(15,148)
🇩🇰Frederiksberg, Denmark
1.8December 22, 2013
Bottle at Yespr’s - Thanks. Clear yellow - white head. Cardboard, light malty, citrus notes, honey notes, straw, grass, light in every way.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Franca,Franca Especial
6,"Pinball(13,340)
🇩🇰Copenhagen, Denmark
2.4December 17, 2013
clear pale yellow, smooth white head. mil dmalty aroma, old hops. flaovr is malty, hoppy sweet mild.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Franca,Franca Especial
7,"joergen(36,570)
🇩🇰Frederiksberg, Denmark
1.7November 30, 2013
Bottle at yespr.
Clear yellow coloured with a small white…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Franca,Franca Especial
8,"Ungstrup(46,683)
🇩🇰Citizen of the universe, Denmark
2.3November 28, 2013
Bottled. A golden beer with a yellowish head. The aroma has notes of straw and malt. The flavor is sweet with notes of malt, straw, and cardboard, leading to a bitter finish. The…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Franca,Franca Especial
9,"yespr(54,637)
🇩🇰Copenhagen, Denmark
2.6November 28, 2013
36 cL bottle. Pours clear and golden orange with a small white head. Aroma is toasted malty and sweet caramelish. Bitter and grassy. Dry and toasted malty finish.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Franca,Franca Especial
10,"MarkoNm(4,664)
🇸🇮Novo mesto, Slovenia
2.5November 17, 2013
Another day, another lager. Pours with a clear golden color, decent white head which settles down quickly. Aroma is basically grains throughout - nothing special. Sweet start is…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
3
Overall
9",Franca,Franca Especial
11,"ronaldtheriot(2,377)
🇺🇸Laplace, United States
3.1November 3, 2013
This sample was brewed in 2009 and the best-by date was May 12, 2010. France has a medium, white head, a mostly clear, golden appearance, some bubbles, a large number of…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Franca,Franca Especial
12,"Mora2000(6,156)
🇺🇸McKinney, United States
1.4July 8, 2013
Thanks to ericandersnavy for sharing this bottle. Yellow with a white head. The aroma is full of grain and a ton of skunkiness. The flavor is unfortunately the same with a lot…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
5",Franca,Franca Especial
13,"EtTuCthulhu(1,391)
🇺🇸Columbia, United States
1.5July 13, 2013
This beer has a slightly off-putting aroma due to how reminiscent of apple juice it is with the light sweet and sourness of fruit, but the appearance is a clear golden color…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
6",Franca,Franca Especial
14,"RobertDale(9,451)
🇺🇸Lansing, United States
2.1January 8, 2013
12 ounce bottle.  Pours a clear pale gold with a small white head.  Aroma of corn, malt, and a touch of grassy hops.  Taste is the same.  Not much happening here.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Franca,Franca Especial
0,"shrubber85(13,167)
🇺🇸Greenville, United States
1.3December 26, 2012
Bottle.  Sour corn malt aroma.   Golden yellow with moderate head.  Sweet corn malt flavor.  Pretty bad - probably a bit better fresh.
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
4",Franca,Franca Especial
1,"queenholly(3,623)
🇺🇸South Whitley, United States
1.4December 26, 2012
Bottle. Sweet corny malt aroma. Clear gold with a small white head. Sweet grainy malt flavor. Light body, slightly flat carbonation.
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
2
Overall
4",Franca,Franca Especial
2,"dfinney23(3,424)
🇺🇸Houston, United States
1.7September 17, 2012
Pours clear gold with a thin white cap. Aroma is corn syrup and a little grain. Lightly bitter finish hints at hops.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Franca,Franca Especial
3,"thegreenrooster(5,815)
🇺🇸St.louis, United States
1.9September 8, 2012
Pour is a yellow with a small fizzy white head.  Aroma is lager grainyness with some burning.  Flavor is bland wet paper bag with on real after taste.  Watery with little flavor.  Good for a…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Franca,Franca Especial
4,"Patrickctenchi(7,259)
🇺🇸Cox’s Knob, columbus, United States
1.3August 18, 2012
Pours slightly dark gold with a short, off-white head.
Scent is corn malt.…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Franca,Franca Especial
5,"ghawener(1,656)
🇸🇻Santa Tecla, El Salvador
1.2July 7, 2012
Bottle: FRANCAmente very avg. Bought it in Guatemala, no idea how it got there and what it’s doing there. Food Pairing: Spicy Seafood platter.
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Franca,Franca Especial
