,맥주정보,검색이름,맥주이름
0,"Radubrew(228)
🇷🇴Romania
2.7July 26, 2019
Clear, golden to amber color, lots of carbonation and weak head. Aroma of malt with hints of white wine, some grapes and apples. Taste is bitter-sweet, but the carbonation is…
Show more
CAN
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
2
Overall
10",gorkha,Gorkha Beer
1,"DraftSensei121(1)
4.7March 17, 2019
Taste was good.Little bitter but it is fine than other beer.Price was also cheap than other beer.
Aroma
9
Appearance
5
Flavor
9
Mouthfeel
4
Overall
20",gorkha,Gorkha Beer
2,"loscovar(1,398)
Principality of SEALAND
1.8February 23, 2019
Bottle brought by my mom from Nepal. Golden color, white head. Pretty common lager, refreshing but not special
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",gorkha,Gorkha Beer
3,"andrewje41(6,246)
🇺🇸Kenmore, United States
3.1April 8, 2018
Bomber poured and shared by Eric. Dude, this is awesome. I saw this sitting across the room and I said, ""what do you have here?!?"". He replies "" I don't know... Let's find out."". I nerd out…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",gorkha,Gorkha Beer
4,"joe19612(4,152)
🇬🇧CAMBERLEY, England
2.5August 13, 2017
Bottle. Pours a light yellow colour with a thin white head, the aroma is light hops, the taste is medium bitterness and with a dry bitter finish.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
12",gorkha,Gorkha Beer
5,"BNAstoutlover(5)
🇺🇸Nashville, United States
1.9April 18, 2017
Bottle in Pokhara. Light body, little to no head. hay, soft malts, light sweetness. Thirst quenching.
Aroma
3
Appearance
2
Flavor
5
Mouthfeel
2
Overall
7",gorkha,Gorkha Beer
6,"Idiosynkrasie(12,545)
🇩🇪Bielefeld, Germany
2.3March 15, 2016
650ml bottle [Thanks Steffi!]. Clear, yellow-ish, golden colour with small to average, thick, frothy, half-way lasting, minimally lacing, snow-white head. Strawy, grainy aroma, a mild touch…
Show more
Aroma
4
Appearance
2
Flavor
6
Mouthfeel
2
Overall
9",gorkha,Gorkha Beer
7,"altonbrownd(5,921)
🇺🇸Chevy Chase, United States
2.3February 7, 2016
Bottle bought in Leuven from Asian bottle shop. Nice golden body with slight head. Nose is grainy, malty and eggy. Taste of malts, rice, spices. Cream texture. Papery thin.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",gorkha,Gorkha Beer
8,"77ships(14,200)
🇧🇪Antwerpen, Belgium
2.5January 5, 2016
Bottle received as a gift from a friend. Thank you! 650 ml. bottle sampled @ home. BBF 02/16. Sticker on the back states that this was imported into Belgium. Surprised that…
Show more
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
3
Overall
9",gorkha,Gorkha Beer
9,"Manslow(2,536)
🇵🇱Warsaw, Poland
2.1November 12, 2015
Butelka wypita w Nepalu w 2014r.. Kolor złoty, klarowne, piana słaba szybko znika.Aromat lekko słodowe, smak chmielowy ledwo wyczuwalny, słodkie, nic szczególnego.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",gorkha,Gorkha Beer
