,맥주정보,검색이름,맥주이름
0,"DoctorHU(1,495)
🇺🇦Transcarpathia, Ukraine
2.2May 6, 2016
500 ml bottle. Yellow beer with a light yellow head. Aroma of malts and caramel. Flavour of malts, fruits, cardboard and hops. A dry finish.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Desant,Desant Svitle (DMB)
1,"fajry(3,762)
🇸🇰Slovakia
2.0February 19, 2016
Fľaša. Zlatá farba, biela pena. Vôňa jemne železitá, umelá. Chuť prázdna, jemne slad, železitá, zlá.
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Desant,Desant Svitle (DMB)
2,"Gurthnar(9,056)
🇸🇰Bratislava, Slovakia
2.3February 19, 2016
Bottle shared by Fajry in a train. Many thanks! Aroma corny and pasteurized. The same is all that can be found in taste as well. Lightly sharp grainy.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Desant,Desant Svitle (DMB)
3,"Cuso(12,309)
🇸🇰Bratislava, Slovakia
2.0February 19, 2016
Bottle kindly shared by fajry, many thanks. Golden color with small white head. Cooked vegetable, corn, tetrahop in aroma. Taste, pretty the same. Bad.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
1
Overall
8",Desant,Desant Svitle (DMB)
4,"MisoW(5,186)
🇸🇰Bratislava, Slovakia
2.0February 19, 2016
Bottle shared by Fajry in train, many thanks. Pours golden color, white head. Aroma of malt. Taste is medium sweet, malty, bad.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Desant,Desant Svitle (DMB)
5,"djoeye(10,395)
🇳🇴Tromsø, Norway
2.4December 31, 2014
Fragile pearl head, clear pale straw golden body.
Mild grassy worts and hops to the nose, pale sweet malts.…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
10",Desant,Desant Svitle (DMB)
6,"ogivlado(11,548)
🇭🇷Zagreb, Croatia
1.7October 21, 2014
Bottled 500ml. -Yellow coloured, small white head, some wet corn in the nose. Slight buttery, corny and acidic with bitterish/sweet finish. Usual Ukrainian macro beer.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Desant,Desant Svitle (DMB)
7,"Patrickctenchi(7,259)
🇺🇸Cox’s Knob, columbus, United States
1.9November 12, 2013
16 oz. can: (as Obolon Svitle....4.5%)
Pours slightly hazy gold with a short, rough, white head.…
Show more
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
2
Overall
9",Desant,Desant Svitle (DMB)
8,"thexplorer(414)
🇺🇦Kherson, Ukraine
2.0September 16, 2013
Обычный лагер. Не больше и не меньше.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Desant,Desant Svitle (DMB)
9,"sinfull(2,593)
🇺🇸Brooklyn, United States
1.0August 13, 2013
Pale yellow color with small head. Malty aroma and taste. Watery and chemically.…
Show more
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
4",Desant,Desant Svitle (DMB)
10,"MiP(18,140)
🇩🇰Sønderborg, Denmark
2.4June 28, 2009
Bottle, 4.3%. Clear shiny yellow colour. Very small white head. Subtle malt flavour. OK clean, but a bit boring. Hint of citrus in the finish.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Desant,Desant Svitle (DMB)
11,"omhper(30,806)
🇸🇪Tyresö, Sweden
2.4November 18, 2007
Bottled - PET  Pale golden, small head. Medium sweet with light creamy malt and vague grasy hops atop. Ligh bodied with low bitterness.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Desant,Desant Svitle (DMB)
12,"natali(27)
🇺🇦Ukraine
1.9March 28, 2007
Golden beer, not bad but a little watery and softly malty and straw scent. Light  notes at the taste and poor body.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
7",Desant,Desant Svitle (DMB)
13,"Ungstrup(46,680)
🇩🇰Citizen of the universe, Denmark
2.0December 9, 2006
A yellow beer with a light yellow head. The aroma is of wet cardboard and malt. The flavor is sweet malty with notes of cardboard, leading to a dry end.
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Desant,Desant Svitle (DMB)
14,"madsberg(11,906)
🇩🇰Søborg, Denmark
1.7December 1, 2006
Bottled. Yellow coloured. Clear. Light white head. Sweet and metallic aroma. Is light skunked. Flavour is sweet and fruity but quite bland. Watery and thin. Sweetish end. Boring, but…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Desant,Desant Svitle (DMB)
0,"Hildigöltur(5,102)
🇩🇰København, Denmark
2.6November 29, 2006
Bottled. Golden coloured. Aroma of apples and straw. Sweetish flavour. Light and rather fresh.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Desant,Desant Svitle (DMB)
1,"JorisPPattyn(11,984)
🇧🇪Wilrijk, Belgium
2.2November 27, 2006
Orangely tinted yellow beer with a small white head. Adjunct-laden malts nose, with, strangely, a faint and brief aroma of a coffee grinder. Some grass, parsley and margarine. Very…
Show more
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
2
Overall
8",Desant,Desant Svitle (DMB)
2,"Emil(6,063)
🇩🇰Copenhagen, Denmark
1.4September 20, 2006
Bottle. Golden colour with a small white head. Carboard aroma and a sweet malty, carboard taste. Medium body with a sweet malty finish.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Desant,Desant Svitle (DMB)
