,맥주정보,검색이름,맥주이름
0,"Bamsen78(7,140)
🇩🇰Sønderborg, Denmark
2.2January 31, 2020
Bottle, brought from Mocambique by my ex-students - thank you so much, Signe and Helenchen! Pours clear golden with airy white head. Clear aroma of yeast, wit mild hoppy notes.…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",MANICA,Manica
1,"MiP(18,140)
🇩🇰Sønderborg, Denmark
2.3January 31, 2020
Bottle, 5%. Faint ahstray aroma. Clear golden colour. Stable white head. The flavour is bready with a malty middle and a dusty/sweet finish.
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",MANICA,Manica
2,"Svartvit(1,871)
🇳🇱Den Haag, Netherlands
1.5January 26, 2019
Shared at the first 2019 THT. Pours a clear pale golden with a white head. Cardboard juice, sweet malts, faded hops.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",MANICA,Manica
3,"sjogro(9,252)
🇳🇱The Hague, Netherlands
1.4January 26, 2019
Can at THT January. Pale straw with white head. Sweet cardboard. Light sweet and bitter. Weak sickly cardboard.
CAN
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",MANICA,Manica
4,"Maakun(10,312)
🇳🇱The Hague, Netherlands
1.4January 26, 2019
Can at first THT 2019. Clear pale golden with white head. Cardboard, sweet bread, light herbs, oxidized notes and more cardboard. Medium sweet and metallic bitter. Under…
Show more
CAN
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
5",MANICA,Manica
5,"kermis(18,397)
🇳🇱Amsterdam-ish, Netherlands
2.0January 26, 2019
3 3 4 3 7
Can shared at THT January ‘19.  Clear golden with a white head.  Aroma of grain, malt, cardboard and light fruity hops.…
Show more
CAN
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",MANICA,Manica
6,"jtclockwork(20,827)
🇺🇸United States
1.7September 25, 2017
Can - Country tick #124. pours gold white head - nose and taste of moldy bread, skunk and light metallic grain - light/medium bodied
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
5",MANICA,Manica
7,"Wim(5,297)
🇧🇪Weelde, Belgium
2.1August 6, 2017
On holiday in South Africa can gold blond colored body with a white head and with a herby malt aroma a herby malt sweet taste with a light bitter finish
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",MANICA,Manica
8,"ChewyBeer(559)
🇦🇺Australia
3.5July 23, 2017
Appearance: crystal clear, lught golden with good white head
Aroma: hay, malt
Palate: medium mouthfeel and carbonation…
Show more
Aroma
7
Appearance
5
Flavor
7
Mouthfeel
4
Overall
12",MANICA,Manica
9,"dimeon(1,602)
🇿🇦Johannesburg, South Africa
3.0July 6, 2017
A: Clear gold with a medium-large head
N: Crisp, bitter, light sweetness…
Show more
Aroma
5
Appearance
3
Flavor
7
Mouthfeel
3
Overall
12",MANICA,Manica
