,맥주정보,검색이름,맥주이름
0,"Maits(839)
🇪🇪Estonia
2.2May 25, 2017
Clear golden beer with small white head. Aroma is mild malty and nothing more. Taste is also weak malty and metallic. Light body, watery. Not actually bad, but nothing good either.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Urho,Hartwall Urho III
1,"faroeviking(13,773)
🇫🇴Mikið av bjórið rennur í heilum, Faroe Islands
2.4March 5, 2017
Lata. Golden colour. Malty soft aroma. Flavour is soft and malty with some sweetness, light bitterness.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Urho,Hartwall Urho III
2,"mice(2,031)
🇫🇮Espoo, Finland
2.0August 10, 2016
Näitä ""bulkkilagereita"" on siinä mielessä ikävä reitata, että laskevat tuntuvasti suomikeskiarvoa. Muiden maiden perusbulkkeja tulee kuitenkin juotua selvästi vähemmän,…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
3
Overall
8",Urho,Hartwall Urho III
3,"Kobracai(214)
🇫🇮Finland
1.6July 22, 2016
Rating from memory. Light golden lager. Mild carbonation and light bodied. Sweet upfront and very light fruit notes coming through. Some pepper in the background, subtle…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
5",Urho,Hartwall Urho III
4,"minutemat(10,749)
🇬🇧England
3.1February 8, 2016
330ml bottle @ Sky Hotel, Rovaniemi. Pours clear amber, big white head. Clean moderately sweet malt and light noble hops, with a low bitterness. Drinkable and perfectly fine.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Urho,Hartwall Urho III
5,"Senka(1,138)
🇪🇪Tallinn, Estonia
1.5January 17, 2015
From the Fin Summer trip: on tap in a resto. Maltier than others, but still just a pale lager. Not my favorite. Probably the price is what scares me.
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
7",Urho,Hartwall Urho III
6,"Nevalainen(1,233)
🇫🇮Finland
2.4August 9, 2014
Clear golden color, quickly vanishing head. medium bitterness, Boring beer.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
6",Urho,Hartwall Urho III
7,"MiP(18,140)
🇩🇰Sønderborg, Denmark
2.1August 8, 2014
Can, 4.6%. Fruity and grainy aroma. Clear golden colour. Good stable white head. The flavour is sweet and metallic. OK malty but with a rough and slightly unpleasant…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Urho,Hartwall Urho III
8,"Bamsen78(7,140)
🇩🇰Sønderborg, Denmark
2.3August 8, 2014
Can. Pours clear golden with airy but stable white head. Clear aroma of yeast, with skunky and hoppy notes. Weak, bitter flavour of hops with mild, malty notes and pronounced…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
3
Overall
7",Urho,Hartwall Urho III
9,"HopfenWeisse(1,560)
2.3June 29, 2014
Clear yellow with big head. Aroma is grainy. Flavor is malty and grain, bit bitter. Not bad basic lager.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Urho,Hartwall Urho III
10,"Beerhammaren(1,851)
🇫🇮Jyväskylä, Finland
2.4April 14, 2014
.33l bottle from CM Seppälä 
Pours clear golden with low white head. Aroma is hops,…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Urho,Hartwall Urho III
11,"SperkeleForce(791)
🇫🇮Finland
2.4January 23, 2014
Can 56,8 cl. Golden color with big smooth foamy head. Notes of citrus, grass, caramel. Not that bad for a bulk lager.
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
6",Urho,Hartwall Urho III
12,"Zarkam(539)
🇫🇮Helsinki, Finland
1.4January 20, 2014
330ml bottle, medium mostly lasting frothy white head, clear deep gold colour, decent lacing. Moderately malty aroma of fruit and and grain, light floral hops. Taste is initially…
Show more
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
3",Urho,Hartwall Urho III
13,"Braastad(464)
🇫🇮Finland
2.4November 23, 2013
Mellow, sweet aroma.
Solid malty flavor with little bitter…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Urho,Hartwall Urho III
14,"Nijstrom(280)
🇫🇮Turku, Finland
1.3November 23, 2013
330ml bottle. Golden colour with a small white head. Notes of malt and vegetables in the aroma. Moderately sweet with a thin body, watery texture and soft carbonation.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Urho,Hartwall Urho III
0,"djoeye(10,401)
🇳🇴Tromsø, Norway
1.9November 1, 2013
33 cl brown bottle, abv 4.6, from Kilpishalli. 
Bright golden body with almost no head on it.…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Urho,Hartwall Urho III
1,"Andy_(1,156)
🇫🇮Tampere, Finland
1.7October 7, 2013
Clear straw orange beer with a persistent white tiny head. Aroma and flavor are just maizey sweetness. Mouthfeel is thin and carbonated. The finish is actually - like the slogan…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
5",Urho,Hartwall Urho III
2,"villevav(526)
🇫🇮Finland
2.3September 19, 2013
Peruslagereita tukevampi runko. Kokonaisuutena vastaavasti tunkkaisempi ja vähemmän raikas. Ei missään suhteessa erityisen miellyttävä, mutta silti lähempänä kunnon olutta…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Urho,Hartwall Urho III
3,"Tide(7,911)
🇫🇮Helsinki, Finland
2.1August 29, 2013
Can from supermarket. Golden color, white head. Bitter taste with citrus, malts, corn, toast and grass. Bittersweet finish with citrus and malts. Decent bulk lager.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Urho,Hartwall Urho III
4,"mauritsio(1,067)
🇫🇮Finland
2.6August 19, 2013
Pint can. Pale with medium head. Not much aroma. Light bitterness and some sweetness. Some hopsey flavour.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Urho,Hartwall Urho III
5,"Armadill0(362)
🇫🇮Finland
2.0July 9, 2013
Bottle. Aroma is mainly grain. 

Taste is bread, some syrup, grain, cardboard. Decent…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
9",Urho,Hartwall Urho III
6,"kalervo(1,188)
🇫🇮Finland
1.8May 25, 2013
A bit better than average Finnish macro lager. More malts and a bit more body than many of its kind has.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
6",Urho,Hartwall Urho III
7,"Juusto(40)
🇫🇮Finland
2.0April 11, 2013
Can (one pint). Pours golden yellow with small head. Medium lacing. Malty aroma with hint of hay. Taste is quite basic for finnish bulk lager. Little bit too ordinary... Nice palate for…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",Urho,Hartwall Urho III
8,"Dermi(1,286)
🇫🇮Helsinki, Finland
1.7April 9, 2013
56,8 cl, canned. Alc 4.6 %. Pours clear gold with a white head. Aroma: Pale malt, mild grass. Taste: Medium sweet, low bitterness. Palate: Quite light body, average carbonation.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Urho,Hartwall Urho III
9,"VastActiv(11,781)
🇫🇮Oulu/Helsinki, Finland
1.9March 2, 2013
Bottle 0.33l from local market. Colour is clear golden with small white head Aromas and flavours: Grain, malts and some hops.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Urho,Hartwall Urho III
10,"olio(13,623)
🇫🇮Tampere, Finland
1.5February 19, 2013
33 cl bottle.…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Urho,Hartwall Urho III
