,맥주정보,검색이름,맥주이름
0,"SHIG(8,149)
🇬🇧Bury St Edmunds, England
2.1January 26, 2020
Sample thanks to Grumbo: Poured a golden with white fast dissipating head, left whispers of white across the top. Aroma is soffy cardboard and malts. Taste is soggy malts,…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Gala,Gala
1,"danlo(7,018)
🇬🇧Darlington, England
1.8December 11, 2019
Sample courtesy of Grumbo, cheers Graham! Golden colour, bubbly white foam head and aroma of light malt, grains. Taste is pale malt, grainy, with alittle straw and grassy…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Gala,Gala
2,"saxo(24,777)
🇩🇰Højbjerg, Aarhus, Denmark
2.1July 12, 2019
Sample courtesy Grumbo. Medium head with medium duration. Color is golden. Aroma and taste are sweet malt, hops and little grass. Sweet malty finish.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Gala,Gala
3,"Nisse666(11,840)
🇸🇪Göteborg, Sweden
1.3April 6, 2019
Rick share W14.5, flip top bottle thx to Marko  2019-04-05 Göteborg
Sample many thx to Grumbo…
Show more
BOTTLE
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
5",Gala,Gala
4,"jtclockwork(20,827)
🇺🇸United States
2.1July 3, 2018
Sample thanks to Grumbo. Country tick 158. Pours gold white head - nose and taste of sweet corn, grain - lighter medium body
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Gala,Gala
5,"BlackHaddock(11,445)
🇬🇧The County Time Forgot, England
2.5March 28, 2018
26th March 2018; Shrewsbury Beer Exchange Group in Chez Sophie. Cheers Mat, via Erzengel for this new country rate. Small sample between five seems like cheating, but we all…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Gala,Gala
6,"minutemat(10,749)
🇬🇧England
2.0March 27, 2018
Bottle @ monthly tasting, Chez Sophie, Mar 18. Thanks to Erzengel for this! Pours a generally clear gold, light mist, small white head. Aroma has pale malt, lightly metallic.…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Gala,Gala
7,"Kevnic2008(13,550)
🇩🇪Baden-Baden, Germany
1.5February 10, 2018
Many thanks for this beer to Erzengel. Pours a clear pale golden color. Maly, herbal aroma and taste. Rather sweet. Medium body and carbonation.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
6",Gala,Gala
8,"Erzengel(12,957)
🇩🇪Saarland, Germany
1.5January 26, 2018
Many thanks to Grumbo for this sample, Country #183. Grainy dry mouldy beginning. Smooth carbonation, lots of grain with a sweetish bitterness. Very watery and light, but…
Show more
Aroma
2
Appearance
4
Flavor
2
Mouthfeel
4
Overall
3",Gala,Gala
9,"Beerhunter111(32,693)
🇩🇪Beerland, Germany
1.4January 26, 2018
Many thanks to Erzengel for sharing! A clear pale golden beer with a small white head. Aroma of sweet grainy malt, bread, cereals. Taste of dry and sweet grainy malt, cereals,…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
6",Gala,Gala
10,"Grumbo(12,235)
🇬🇧Ipswich, England
2.0January 1, 2018
Bottle. My first beer of 2018 and it's a country tick! Country #179 - huge thanks to Boris for the trade and his friend Aziz for facilitating its arrival in Germany. Pours very pale gold…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
6",Gala,Gala
11,"Idiosynkrasie(12,543)
🇩🇪Bielefeld, Germany
1.8October 25, 2017
630ml bottle [due to Aziz's fantastic organising ability, thank you very much!]. Clear, yellow-ish golden colour with average, frothy, half-way lasting, minimally lacing, white head.…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
6",Gala,Gala
