,맥주정보,검색이름,맥주이름
0,"charlotte(6,859)
🇩🇰rødovre, Denmark
2.3January 21, 2021
Bottle.Clear golden colour with off white head.Aroma is sweet and malty feels a by metallic and watery finish.
BOTTLE
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
8",NDOVU,Ndovu Special Malt
1,"MeadMaster48(1)
1.1September 23, 2019
330 Bottle, Mikumi Lodge, Tanzania. Too sweet, water, wrong taste. As far as I remember, the only one beer I could not drink so far.
BOTTLE
Aroma
3
Appearance
3
Flavor
1
Mouthfeel
1
Overall
3",NDOVU,Ndovu Special Malt
2,"dimeon(1,602)
🇿🇦Johannesburg, South Africa
2.6July 2, 2019
A: Clear gold with a small white head. 
N: Faint hint of pale malt
T: Faint malty profile with a hint of…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",NDOVU,Ndovu Special Malt
3,"Werckmeister(6,133)
🇦🇹Vienna, Austria
2.6February 10, 2019
0,375l from bottle. Light yellow, small white head. Smells peppery, tobacco, earthy, grains. Average smell. Medium body, soft carbonation, slick mouthfeel. Tastes grainy,…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",NDOVU,Ndovu Special Malt
4,"jercraigs(13,413)
🇨🇦Toronto, Canada
1.7January 24, 2019
2019-01-17. Pale yellow body, small quick off-white head. Aroma has rough grassy skunk character. Flavour is similarly harsh. Average to light bodied palate, moderate…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",NDOVU,Ndovu Special Malt
5,"fiulijn(26,305)
🇨🇦Vancouver, Canada
2.2January 19, 2019
Courtesy of Maureen
Pale blond colour. The smell is quite grainy. The flavour is rather skunky.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",NDOVU,Ndovu Special Malt
6,"fiery1(3,797)
🇨🇦Vancouver, Canada
1.8January 18, 2019
375ml bottle @ Matt's. Pours a clear golden colour with a small white head. Nose is very skunky and vegetal. Flavour is not drinkable skunky vegetables. Light bodied, light…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
7",NDOVU,Ndovu Special Malt
7,"beerplace(5,575)
🇨🇦Vancouver, Canada
2.4January 18, 2019
375ml bottle at Matt's.
Appearence: clear golden
Aroma: bready malt with…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
10",NDOVU,Ndovu Special Malt
8,"Ferris(23,110)
🇨🇦Burnaby, Canada
2.5January 18, 2019
Skunky, but a green bottle so expected. Clear gold with a small white head. Paper and some sweetness.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",NDOVU,Ndovu Special Malt
9,"mcberko(32,007)
🇨🇦Vancouver, Canada
0.7January 18, 2019
375mL bottle, pours a clear pale yellow with a small white head. Aroma is very skunky, with lots of skunk cabbage, vegetables, and some straw. Flavour doesn't even any…
Show more
Aroma
2
Appearance
1
Flavor
1
Mouthfeel
1
Overall
2",NDOVU,Ndovu Special Malt
10,"Oakes(25,348)
🇨🇦Kelowna, Canada
1.5January 16, 2019
Light amber, bit hazy/murky. Not much head. Malt-ish, some lighter grassy hop notes and light bitterness. Finishes more on the sticky-sweet side, though.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
6",NDOVU,Ndovu Special Malt
11,"mile(4,636)
🇫🇮Helsinki, Finland
2.2November 30, 2018
Bottle. Light golden - golden, average to large and mostly diminishing head. Light to medium, malty - lightly grainy and lightly sweetish - sweetish aroma, faint - light hoppyness.…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
8",NDOVU,Ndovu Special Malt
12,"Iznogud(9,003)
🇭🇷Zagreb, Croatia
1.1February 7, 2018
Bottle, 330 ml, courtesy of Vlado. Shared with Max and JFK10000. Pours clear golden, medium short lasting white head. Sweet malty, stinky, nasty stuff. Watery and bland.
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",NDOVU,Ndovu Special Malt
13,"rhoihessegold(6,370)
🇩🇪Mainz, Rhineland-Palatinate, Germany
2.1December 27, 2017
26-12-17 // bottle thanks to my uncle. Clear golden. Sweet malty, straw, very mild bitter. Quite okay.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",NDOVU,Ndovu Special Malt
14,"surething_ii(4,028)
🇸🇰Šenkvice, Slovakia
2.8June 8, 2017
Actually better Tanzanian one. 
Quite close to euro beers, malty line is significant and it…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",NDOVU,Ndovu Special Malt
0,"Hamirubi(634)
🇧🇪Waarschoot, Belgium
2.0January 19, 2017
Sample from a 37.5cl bottle at home (18 I 2017), a bottle passed on to be by beer friend Alengrin, but surely coming from the beer cellar of tderoeck: Thanks guys! This…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",NDOVU,Ndovu Special Malt
1,"Alengrin(8,905)
🇧🇪Belgium
1.9August 26, 2016
Bottle from a trade with tderoeck, shared with the RB crew at Gents Bierfestival. Tanzania’s Premium Lager (I had no idea they even had one but I guess it makes sense to be able to…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
1
Overall
7",NDOVU,Ndovu Special Malt
2,"tderoeck(14,778)
🇧🇪Gent, Belgium
2.0August 25, 2016
20/VIII/16 - 33cl bottle from a colleague traded with Alengrin @ Gents Bierfestival - BB: 18/IX/14 (2016-896) Thanks to Alengrin for sharing the bottle!…
Show more
Aroma
5
Appearance
3
Flavor
2
Mouthfeel
3
Overall
7",NDOVU,Ndovu Special Malt
3,"77ships(14,200)
🇧🇪Antwerpen, Belgium
2.0August 21, 2016
Thank you for sharing Alengrin! Sampled 330 ml. green bottle @ Gents Bierfestival 2016. 2014 Vintage. Apparently my second beer from this brewery. Hazy orange, little white…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
8",NDOVU,Ndovu Special Malt
4,"k0mpsa(3,785)
🇫🇮Tuusula, Finland
2.5August 7, 2016
Can. Clear golden color, white head. Aroma has malts, hint of fruits. Balanced malty body, some fruity notes. Clean taste.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
8",NDOVU,Ndovu Special Malt
5,"esp0r(2,932)
🇳🇴Norway
2.8August 5, 2016
Bottle enjoyed at home…
Show more
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
11",NDOVU,Ndovu Special Malt
6,"nybol(3,808)
🇩🇰Denmark
3.1February 18, 2016
Helt almindelig pilsner som de nok er i Afrika. Ikke noget specielt men nok god i varmen.
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",NDOVU,Ndovu Special Malt
7,"McWorta(1,632)
🇱🇺Luxembourg
2.7November 6, 2015
Golden with a pillowy white mostly lasting head. Aromas of cereal, pale malt, hay, herbal and faintly grassy with a starting note of DMS develop. Soft carbonation, thin yet…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",NDOVU,Ndovu Special Malt
8,"AnonUser54728(2,851)
4.6October 11, 2015
Aroma: Light grain/straw, no hops.
Appearance: Brilliant light gold body. Small, white head, low…
Show more
Aroma
9
Appearance
4
Flavor
10
Mouthfeel
4
Overall
19",NDOVU,Ndovu Special Malt
9,"Ktwse(6,833)
🇺🇸Chicago, United States
1.6February 12, 2014
Pours clear yellow with medium white head. Aroma of bread, malts, cereal, light honey. Taste is bland sweet with nearly no finish. Light body with fairly low carbonation.…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
2
Overall
7",NDOVU,Ndovu Special Malt
10,"aleksander9(1,926)
🇳🇴Oslo, Norway
2.1January 8, 2014
golden with small white head. Some floral hops in aroma. Typical industrial pilsner in mouthfeel and carbonation. Aftertaste is dry with some floral hops, cardboard and…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",NDOVU,Ndovu Special Malt
11,"Erzengel(12,957)
🇩🇪Saarland, Germany
3.0October 12, 2013
Rating from 2011:   
Danke an Hajo für dieses tansanische Bier!…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",NDOVU,Ndovu Special Malt
12,"abemorsten(3,797)
🇳🇴Mosterøy, Norway
2.2September 21, 2013
375 ml green bottle. Trade with Holmen2. Clear golden body with a small dense off-white head. Notes of hay and light malts on the nose. Bitterness and sweetness is fairly…
Show more
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
3
Overall
7",NDOVU,Ndovu Special Malt
13,"Wim(5,297)
🇧🇪Weelde, Belgium
2.5August 23, 2013
holliday in Tazania gold blond colored body with a white head and with a malt hoppy aroma a spicy hoppy malt bitter taste with a nice bitter finish
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",NDOVU,Ndovu Special Malt
14,"Holmen2(6,860)
🇳🇴Norway
2.6July 6, 2013
Bottle at Africa House in Zanzibar. Golden in colour. Large, white head that quickly diminishes. Some hop aroma and taste. Slightly crude bitterness, short aftertaste. A decently…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
4
Overall
10",NDOVU,Ndovu Special Malt
0,"Countbeer(6,587)
🇳🇱Best of E-Town mit 2 Brauhausen, Netherlands
2.3May 8, 2013
Bottle:
Medium sized slowly changing creamy white foamy head…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
6",NDOVU,Ndovu Special Malt
1,"Imaena(2,404)
🇺🇦Kyiv, Ukraine
1.1February 15, 2013
Bottle.  Another east African pale lager.  I swear they are all the same beer bottled in different packages.
Aroma
3
Appearance
2
Flavor
1
Mouthfeel
1
Overall
4",NDOVU,Ndovu Special Malt
2,"ComradeK(1,725)
🇨🇦North-Western Ontario, Canada
2.1September 24, 2012
375ml bottle. Pours a clear medium gold, with a smallish white head, which does not last well, but does leave some lace. The aroma has some grainy malt and floral and spice…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",NDOVU,Ndovu Special Malt
3,"Eructoblaster(6,316)
🇨🇦Gatineau, Canada
1.4February 29, 2012
Bottle - 355ml. Pale blond body with a thin white foamy head. Thin malty/hoppy aroma with skunky hints. Taste is watery and ends with a very timid bitter/grassy finish. Bad stuff.
Aroma
4
Appearance
2
Flavor
2
Mouthfeel
1
Overall
5",NDOVU,Ndovu Special Malt
4,"HenrikSoegaard(17,578)
🇩🇰Randers, Denmark
1.5August 28, 2011
Can. Courtesy JCSH. Frothy white fait fully deminishing head. Yellow colour. Light malty and hoppy not pleasent aroma. Light bitter flavor. Short light bitter finish. Watery…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
7",NDOVU,Ndovu Special Malt
5,"JWE(209)
🇩🇰Aarhus, Denmark
1.8August 26, 2011
Can. Pours a pale yellow with diminishing foam. Aroma and taste is watery and thin. Slightly bitter finish.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",NDOVU,Ndovu Special Malt
6,"onystrom(1,334)
🇩🇰Magellan Hunter! - Skanderborg, Denmark
1.6August 26, 2011
Bad pale lager. Normal watery palate yellow no head but from Tanzania!
Aroma
3
Appearance
1
Flavor
4
Mouthfeel
1
Overall
7",NDOVU,Ndovu Special Malt
7,"saxo(24,777)
🇩🇰Højbjerg, Aarhus, Denmark
1.7August 26, 2011
Can. Medium head with medium duration. Color is golden. Aroma and taste are bread, malt and hops.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",NDOVU,Ndovu Special Malt
8,"Thorpe429(5,032)
🇺🇸United States
1.1April 24, 2011
Can shared by travlr. Served in a SAVOR snifter.…
Show more
Aroma
3
Appearance
2
Flavor
1
Mouthfeel
1
Overall
4",NDOVU,Ndovu Special Malt
9,"MrChopin(4,305)
🇺🇸Baltimore, United States
1.5April 20, 2011
trans gold, no head. Earthy mushroomy corn, light lemon, bit husky, palate only lightly oily. Tickeration in full flight. Next...
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",NDOVU,Ndovu Special Malt
10,"EricE(1,367)
🇺🇸Seattle, United States
2.1March 29, 2011
Not terrible compared to some of other African pale lagers tried tonight.  Clear pale yellow with a fluffy white head.  Actually smells and tastes like beer.  Sweet malty aroma…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",NDOVU,Ndovu Special Malt
11,"BeerandBlues2(17,651)
🇺🇸Woodland Park, United States
1.0March 29, 2011
Can shared by Travlr.  Pours pale clear straw with no head.  Aroma and flavor are tin, corn, potato, and watery straw.  Light body, warmth, and carbonation with a watery finish.
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
4",NDOVU,Ndovu Special Malt
12,"argo0(14,126)
🇺🇸United States
1.1March 29, 2011
33cl can, thanks(?) Travlr.  Small white head, crystal clear apple juice body.  Aroma is moderately sweet, grass, cereal, light melon.  Taste is moderately sweet, caramel, some…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",NDOVU,Ndovu Special Malt
13,"GT(10,001)
🇺🇸San Diego, United States
1.9March 28, 2011
Can thanks to Travlr. Pours a clear straw with a diminishing white head. Aroma of corn, sweet syrup, sugar. Taste is sweet, malty for once, gritty, corn, actually some real malt…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
3
Overall
7",NDOVU,Ndovu Special Malt
14,"ryan(3,185)
🇺🇸Beltsville, United States
1.7March 27, 2011
Sweet adjunct nose. Taste is lightly sweet, no bitterness, light honey, metallic, watery.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",NDOVU,Ndovu Special Malt
0,"Travlr(30,304)
🇺🇸No fixed abode, United States
1.9March 20, 2011
This is only my second beer is Tanzania, and I would rate this one #2 so far.  Typical developing world lager, but lighter bodied and even less interesting than the average.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
4",NDOVU,Ndovu Special Malt
