,맥주정보,검색이름,맥주이름
0,"AndreiProdan(213)
🇲🇩Rautel, Moldova
1.4June 4, 2020
FishMarket Balti 10.9 lei - 0.5l
Aromă de apă cu metal. Gust de carton umed, metal şi ceva malţ. Nu prezintă nici un interes.
CAN
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
6",Zimbru,Zimbru
1,"kerenmk(6,767)
🇮🇱Tel Aviv, Israel
1.4December 31, 2019
Can sample at a tasting at troubles' place. Thanks Tom. Clear light gold with a white head. Malty aroma with metallic and phenolic taste. Light body, phenol, plastic finish.
CAN
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
3",Zimbru,Zimbru
2,"qt01(451)
🇷🇴Cluj-Napoca, Romania
2.3November 30, 2019
It is a malty , grainy , mildly sweet , a bit watery light beer. Not bad , good for the price.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Zimbru,Zimbru
3,"PilsnerDoctor32(1,925)
🇪🇸madrid, Spain
1.9September 1, 2019
Botella 500ml  Color dorada,clara con espuma blanca,alta,media resistente.Aroma malta,cereales,herbal.Sabor malta,ligero…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
1
Overall
6",Zimbru,Zimbru
4,"Radubrew(228)
🇷🇴Romania
1.3July 26, 2019
Golden, clear, weak head, watery. Malty smell with some metal and freshly cut glass. Watery, not very much going on; at most some sweet and traces of malt. No aftertaste.
BOTTLE
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
1
Overall
4",Zimbru,Zimbru
5,"DSG(20,925)
🇮🇱Tel Aviv, Israel
1.7July 12, 2019
Can sample at a tasting at troubles' place. Thanks Tom L. Clear golden, white head. Graininess, sweetish, a bit of cardboard, bitterish finish, a bit metallic, light-bodied.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Zimbru,Zimbru
6,"BrewChecker43(0)
0.5July 6, 2019
Bought a can of this randomly on vacation in Greece.  I always brag that there's no beer so terrible I can't finish one.  I was wrong.  Zimbru is the worst beer I've ever had.  I…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Zimbru,Zimbru
7,"zvikar(11,249)
🇮🇱Ramat Gan, Israel
2.1June 11, 2019
At Dror's place, pours yellow with a small head, aroma of grain, corn, flavor is slightly bitter with corn, light bodied
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Zimbru,Zimbru
8,"bilcho1(1,406)
🇧🇬Ruse, Bulgaria
2.3May 20, 2019
500ml bottle drunk at home on a warm, humid May evening. Clear pale straw, average fluffy head, plenty of lacing and masses of fast-rising bubbles. Aromas mainly bread, honey…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
10",Zimbru,Zimbru
9,"visionthing(7,038)
🇪🇪Tallinn, Estonia
1.8February 17, 2019
50cl can from Teo international store, Paphos. Pours clear, pale straw coloured without much head to speak of. Mild grainy and slightly grassy aroma with hints of cooked…
Show more
CAN
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Zimbru,Zimbru
10,"Drinking_77(308)
🇨🇭Basel, Switzerland
2.0December 11, 2018
Review: 0,5.l green can of Zimbru Bere Blonde: 4% vol.

My first Romanian beer, bought on my holidays in Greece!…
Show more
CAN
Aroma
2
Appearance
1
Flavor
4
Mouthfeel
5
Overall
8",Zimbru,Zimbru
11,"koshack(3,059)
🇵🇱Gdañsk, Poland
3.0September 20, 2018
Złote, klarowne. Piana szybko opada bez śladów. W aromacie utleniony chmiel, Connect dziwne bo nie jest w zielonej butelce. W smaku wyraźna goryczka. Krótka, lekko wodniste…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Zimbru,Zimbru
12,"Flag08(458)
1.9August 5, 2018
Can, 500 ml. Extra point for the can design, it's a  nicely made bull, but the 4% ABV and the 9 Balling is definitely not a bull, it's not even a pit bull, but at least it's not a bullsh!t.…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Zimbru,Zimbru
13,"moldovan9807(1,100)
🇷🇴Oradea, Romania
1.9May 30, 2018
Aroma of water and alcohol.Taste of grain,cardboard,malt,corn, faint alcohol.
Aroma
2
Appearance
4
Flavor
3
Mouthfeel
2
Overall
8",Zimbru,Zimbru
14,"Pinball(13,340)
🇩🇰Copenhagen, Denmark
1.5March 21, 2018
2l !! bottle i bought in greece several years ago. It had somehow hidden itself in my storage room. The bottle had shrinked a bit so it was square instead of round, so over…
Show more
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
4",Zimbru,Zimbru
0,"crossovert(16,747)
🇺🇸Chicago, United States
2.0January 1, 2018
500ml bottle. Pours a light pale gold, white head. Aroma is light and inoffensive. Flavor is metallic, some breadiness and sweetness, not great.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
8",Zimbru,Zimbru
1,"omhper(30,806)
🇸🇪Tyresö, Sweden
1.3November 18, 2017
Canned, from Chişinau.  Clear pale golden, mid sized head. Fruity nose with some cereals. Mid sweet with light body and clean mouthfeel. Watery cereals, notes of apples. Low…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Zimbru,Zimbru
2,"LondonDistiller(1)
0.7April 29, 2017
They really haven’t pushed the boat out here on ingredients. This is really a drink for the sake of drinking alcohol and not one to savour.…
Show more
Aroma
1
Appearance
3
Flavor
1
Mouthfeel
1
Overall
1",Zimbru,Zimbru
3,"YantarCoast(3,142)
🇷🇺Moscow, Russia
2.0January 27, 2017
500ml can. Pours pale yellow with a brief white head. Aroma is grain, paper, faint pale malts. Taste is water and a bit of malt.
Aroma
3
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Zimbru,Zimbru
4,"gunnar(13,551)
🇳🇴Sandnes, Norway
2.6September 20, 2016
Can from a Russian corner shop in Chania. Pours clear golden with a big creamy white head, short lived. Grainy malts, with a weak flowery note?. Taste is light sweet,…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Zimbru,Zimbru
5,"heavy(2,948)
🇭🇷Split, Croatia
1.3August 17, 2016
A 2 l plastic bottle that poured a golden body with a small head. A bit grainy, corny and sweet aroma. Flavor was lightly sweet, bread, corn, a bit dusty - boring and empty. Thin with…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
5",Zimbru,Zimbru
6,"Marko(10,283)
🇨🇿Prague, Czech Republic
1.6August 12, 2016
2l bottle that heavy indeed got at the local butcher’s store - it’s imported by a company that generally deals in meat. Great. And this version is 8° to 4%, so obviously even more…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Zimbru,Zimbru
7,"nephirem(1,476)
🇭🇷Croatia
0.6August 4, 2016
2 liter plastic bottle, bought at the local butcher shop for the lols. :D So!…
Show more
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
1
1",Zimbru,Zimbru
8,"Marduk(14,159)
🇪🇪Reval, Estonia
2.4July 2, 2016
500ml can (thanks dnicolaescu). Clear pale yellow color. Medium size, white head, stays. Sweet, malty, bit papery in aroma. Papery, dead hops, malty, hop extract in taste. Hop…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Zimbru,Zimbru
