,맥주정보,검색이름,맥주이름
0,"SN11(68)
🇺🇸United States
2.5August 23, 2020
Somewhat a rare find here in IL/USA. I stumbled upon this one by accident. Bottled 12-pack for $6 at a local store. No joke. Pretty decent price so why not try it. I knew right off…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
12",Cantina,Cantina
1,"crossovert(16,747)
🇺🇸Chicago, United States
2.1October 6, 2019
355ml bottle. Clear gold pour, mild skunk, mild grain aroma. Falvor is light, light oxidation, light sugar cookie, not as good as corona light, that is about all i can say.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Cantina,Cantina
2,"Skarecrow(1,734)
🇳🇿North Shore, Auckland, New Zealand
2.8October 2, 2019
330ml bottle
Gold colour with OK head.…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cantina,Cantina
3,"hawthorne00(5,953)
🇦🇺Melbourne, Australia
1.7September 18, 2016
Bottle, 4.6%ABV. Orange with a white head. Generic, slightly cardboardy aroma with some grass, vaguely skunky. Mild but not terrible. Really watery. Moderate to low carbonation.…
Show more
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
6",Cantina,Cantina
4,"Stellaaaa(285)
🇺🇸United States
1.6June 12, 2016
Pours a clear yellow with no head and lacing. Aroma and taste are pure skunk water. I honestly can’t taste any malt or anything in this one, just skunk. Maybe it’d be slightly better…
Show more
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Cantina,Cantina
5,"weihenweizen(6,003)
🇺🇸Charleston, United States
2.6May 13, 2016
Refrigerated 12 oz. clear bottle poured into glass. Clear golden no head, light body, low carbonation. Taste is malty corn.
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
11",Cantina,Cantina
6,"rondphoto(5,071)
🇺🇸Lakeside Park, United States
2.0December 7, 2015
bottle @ Party Town / Florence KY --- Clear, very still, straw color, light white head cover, tiny lace dots. Aroma of malt and an adjunct, which I never find disagreeable in this beer…
Show more
Aroma
6
Appearance
2
Flavor
4
Mouthfeel
1
Overall
7",Cantina,Cantina
7,"Morboso(178)
🇦🇺Queensland, Australia
2.3September 20, 2015
Yep kinda like Corona, that weaker cats pissy style, ok for hot day but lacking flavour.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Cantina,Cantina
8,"tnkw01(2,837)
🇺🇸Knoxville, United States
1.8August 28, 2015
Bottle. Gold color with a medium head. Aroma is a skunky smell. Taste is well watery and just nasty. This is way they put limes in beer.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
3
Overall
7",Cantina,Cantina
9,"GreatDane1632(1,177)
🇺🇸United States
2.6August 16, 2015
Rated based on notes taken 27 Oct 2012 -- A surprisingly good Cerveza drank at a Mexican Restaurant in San Antonio.
Aroma
3
Appearance
4
Flavor
5
Mouthfeel
4
Overall
10",Cantina,Cantina
10,"Aggiebob(3,004)
🇺🇸Huntsville, United States
1.3July 22, 2015
Bottle: Clear straw gold color with a small head. It had a skunky corn aroma. The taste was watery and sweet corn flavor. It it was packaged differently (clear bottle), I wonder…
Show more
Aroma
1
Appearance
5
Flavor
2
Mouthfeel
3
Overall
2",Cantina,Cantina
11,"Thullin(23)
🇺🇸Smyrna, United States
2.7June 29, 2015
strong hints of corn and skunk on the nose, with a pale slightly hazy straw color. moderate carbonation with a thin white head.…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
13",Cantina,Cantina
12,"ordybill(1,815)
🇺🇸Douglasville, United States
1.4May 6, 2015
Poured from a 12 OZ bottle into a pint glass.
Aroma- smells like a skunk…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
3
Overall
4",Cantina,Cantina
