,맥주정보,검색이름,맥주이름
0,"DocuDrinks(1,212)
🇱🇻Riga, Latvia
2.7April 9, 2020
Smell- weak, malt maybe.
Foam- thin, malty, maybe find non-alco notes, but not in a way to give something negative. The Head is small, white.…
Show more
BOTTLE
@ Riga Spirits & Wine Outlet
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
10",Erebuni,Erebuni
1,"Rubin77(6,380)
🇧🇪Brussels, Belgium
2.6April 7, 2020
33cl bottle from FreshMed supermarket Etterbeek, Brussels.
F: big, white, almost good retention.
C: pale gold, almost clear.…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Erebuni,Erebuni
2,"SVD(3,986)
🇳🇱Netherlands
3.4December 26, 2019
Country tick #97, Golden, small head, aroma is malt, sweet, grain, bit lightstruck, taste is the same, sweet, light bitter, fruity, sweet.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
16",Erebuni,Erebuni
3,"mzaar(5,673)
🇸🇪Varberg, Sweden
2.7October 26, 2019
Bottle. Pours clear golden with a white head. Aromas of grass, malt and grain. Flavours of malt, honey, grain and grass. Nicely balamced sweetness/bitterness.
BOTTLE
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
4
Overall
10",Erebuni,Erebuni
4,"sharkydodson(4,113)
🇷🇺St. Petersburg, Russia
3.4August 1, 2019
the aroma is malty and herbal, shades of straw, grain and some grasses... the taste is malty and floral with notes of grain, grass hop, hay and bitter herbs... the aftertaste is…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Erebuni,Erebuni
5,"YantarCoast(3,142)
🇷🇺Moscow, Russia
2.5May 29, 2019
330 bottle. Pours clear gold with a medium-sized white head. Aroma is sweet malt, grain, hay, sulphur. Taste is sweet, malt, skunky, some butter too. Light bitter finish.
BOTTLE
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
2
Overall
8",Erebuni,Erebuni
6,"DijkBier(1,851)
🇳🇱AMSTERDAM, Netherlands
3.0February 26, 2019
Bottle bought in Mechelen (B), pouring clear golden with a white head, that falls down rather quickly. Weak aroma, malty, with a small sense of something soft sweet and hay.…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
4
Overall
12",Erebuni,Erebuni
7,"DraftPours23(2,095)
🇫🇷France
2.4June 10, 2020
Robe dorée limpide, assez sombre, mousse correcte mais peu durable, reste un disque. Carbo assez abondante. Nez de malt classique, légèrement sucré. Attaque de grain et de…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Erebuni,Erebuni
8,"Leighton(29,016)
🇬🇧London, England
3.2January 13, 2019
Bottle shared at GBBF 2015, day 3 - London. Cheers! Pours clear yellow with a creamy, white head. The aroma holds white bread, grain, cereal, dough. Medium sweet flavour…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Erebuni,Erebuni
9,"Ruprecht_007(1,083)
🇨🇿Cesky Tesin, Czech Republic
1.6July 4, 2018
Prakticky nepitelné, hluboce prokvašené pivo podobné nejvíce polským supermarketovým pivům.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Erebuni,Erebuni
10,"JWN(114)
🇳🇴Hundvag, Norway
3.5March 25, 2018
""The beer is dark golden in colour with a nice amount of foam on top. It tastes smooth and sweet with a nice malty finish. Slight citrusy hint towards the end. Pretty decent…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Erebuni,Erebuni
11,"thejackpacker(1,992)
🇬🇧England
1.5November 12, 2017
Bottle. This ain't pretty and certainly not worth a retey but has to be done.
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
6",Erebuni,Erebuni
12,"jtclockwork(20,827)
🇺🇸United States
2.9July 6, 2017
Bottle - pours gold white head - nose and taste of malt, caramel and tree bark - medium body
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Erebuni,Erebuni
13,"Ferris(23,110)
🇨🇦Burnaby, Canada
2.9May 22, 2017
Bottle - Sweet bready malts. Clear gold with no head. Light sweet bready grain notes.
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
3
Overall
11",Erebuni,Erebuni
14,"Benzai(20,022)
🇳🇱Oirschot, THE NETHERLANDS, Netherlands
2.8May 22, 2017
Bottle @ home. Clear golden color, average sized white to off-white head. Smell and taste malts, some grains, grainy malt bitter, bitter. Average body and carbonation.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Erebuni,Erebuni
