,맥주정보,검색이름,맥주이름
0,"nathanvc(3,381)
🇧🇪Gent, Belgium
2.4October 18, 2020
Can from a French supermarket - thanks, mom & dad! Hazy, actually clear, dark red, frothy, tan head. Aroma of Coca-Cola, caramel, dried banana, fruit syrup, apricot, red apple, bloody…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Licorne,Licorne Black
1,"alovelydrop(70)
2.6September 22, 2020
Very odd, it's much closer to a milk stout than a dark lager IMO. Big chocolate malt vibe, no roastiness or bitterness at all. Average.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Licorne,Licorne Black
2,"maupie(2,426)
🇳🇱Roosendaal, Netherlands
2.4July 21, 2020
33cl fles. Helder donker robijnrood van kleur, fijne romige creme schuimkraag. De geur is karamel en muf. Smaak is zoet, suiker, karamel en licht koffie. Licht body en veel…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Licorne,Licorne Black
3,"FACambridge(953)
🇬🇧Chelmsford, England
2.4February 23, 2020
Aroma : Medium roasted chocolate & sweet caramel malts, brown sugar, hint of liquorice and some soft dark pruney fruit with a light musty/earthy hop note.  Taste : As aroma. Thin…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Licorne,Licorne Black
4,"PubSensei49(1)
1.3November 8, 2019
Je trouve cette bière exceptionnelle avec son léger goût de lavande et de chocolat, un vraie d'automne à boire juste après Halloween, avec son arrière goût de potiron !…
Show more
BOTTLE
Aroma
1
Appearance
5
Flavor
1
Mouthfeel
1
Overall
5",Licorne,Licorne Black
5,"hopehopehope(1)
2.4November 4, 2019
Cette bière de la brasserie de Saverne a un look sympa, très noire, mais beaucoup trop sucrée (un petit côté Desperados en version black). Dommage
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Licorne,Licorne Black
6,"je_corn(197)
3.2September 24, 2019
Dark brown to black with light brown foam. Malt sweetness dominates. Some roasted notes. Slightly high carbonization.
TAP
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
2
Overall
13",Licorne,Licorne Black
7,"bkurtz(1,324)
🇱🇹Lithuania
3.0September 15, 2019
Can - Pours a clear dark brown with a smallish, bubbly head. Sweet hay aroma. Decent mouthfeel, sweet with chocolate notes. OK
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Licorne,Licorne Black
8,"Manslow(2,536)
🇵🇱Warsaw, Poland
2.1August 21, 2019
Pite z butelki, ocena spisana z notatek. Piwo ciemne, duża zawartość cukru. Praktycznie smakuje jak cola, nic szczególnego. Wypić i zapomnieć.
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Licorne,Licorne Black
9,"Hopverdju(3,838)
🇧🇪Belgium
1.9July 24, 2019
Van 't vat. Donkerbruin/Zwart bier met rode gloed en beige schuim. Geur: geroosterde mout, koffie chicorei, karamel. Smaak: zoet, suiker, wat mout en niets anders. Medium…
Show more
CASK
Aroma
6
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Licorne,Licorne Black
