,맥주정보,검색이름,맥주이름
0,"as1999(378)
🇭🇷Zagreb, Croatia
2.2October 25, 2020
0,5 L
Pivo blijede zlatne boje,slabe pjene, arome kvasca i kuruze... okus praznjikav, blago vodenkast, nimalo gorak... ništa…
Show more
CAN
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Preminger,Preminger
1,"hrabren(4,534)
🇭🇷Zagreb, Croatia
1.9January 7, 2020
0,33 l bottle from a local Lidl store. Shared with little Dina. Clear pale golden, small white head, sparkling. The aroma is cooked corn, some cardboard, some sugary malt syrup.…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
3
Overall
5",Preminger,Preminger
2,"Goldbarren(3,667)
🇦🇹Vienna, Austria
2.3November 5, 2018
Hier erst einmal herzlichen Dank an meine Kollegin Ida, die mir dieses Bier mitgebracht hat.…
Show more
Aroma
5
Appearance
2
Flavor
3
Mouthfeel
3
Overall
10",Preminger,Preminger
3,"Grumbo(12,244)
🇬🇧Ipswich, England
2.2July 28, 2018
28/7/2018. Bottle at Højbjerg tasting. Pours clear pale gold with a small off-white head. Aroma of sweetcorn, caramel, hops, fruit. Medium sweetness, light bitterness. Moderate…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
7",Preminger,Preminger
4,"Bamsen78(7,140)
🇩🇰Sønderborg, Denmark
2.8July 28, 2018
Bottle @ Højbjerg tasting 28 July. Pours clear golden with airy white head. Clear aroma of yeast and malt, with mild touches of hops. Sweetish, estery and malty flavour with mild hoppy…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Preminger,Preminger
5,"HenrikSoegaard(17,578)
🇩🇰Randers, Denmark
1.7July 28, 2018
Bottle. Frothy white good mostly lasting heqad. Yellow colour. Light malty and hoppy aroma. Light bitter flavor. Short light bitter finish. Watery palate.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Preminger,Preminger
6,"martin00sr(8,110)
🇩🇰Haderslev, Denmark
2.6July 28, 2018
Bottle @Højbjerg Tasting. Clear golden, white head. Grainy aroma. sweet, grainy flavour, low bitterness.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Preminger,Preminger
7,"Rasmus40(29,114)
🇩🇰Beder, Aarhus, Denmark
1.6July 28, 2018
Bottle @ Saxo tasting. Clear yellow with a white head. Aroma is sweet, malty, corn and grainy. Flavor is medium sweet and light bitter. Sweet and light bitter finish. Watery. 280718
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Preminger,Preminger
8,"saxo(24,777)
🇩🇰Højbjerg, Aarhus, Denmark
2.0July 28, 2018
Bottle @ Højbjerg tasting. Medium head with medium duration. Color is golden. Aroma and taste are grass, malt, straw and hops. Notes of bread too.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Preminger,Preminger
9,"einherjar(739)
🇭🇷Rijeka, Croatia
2.2December 26, 2017
Clear golden color, small white head. Aroma grain and metal. Taste sweet corn, thin body light sour finish. Drinkable lager.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
8",Preminger,Preminger
10,"nephirem(1,477)
🇭🇷Croatia
0.7September 9, 2017
Preminger Bottle, 0.5l. Clear golden pour with two finger soapy white head - courtesy of violent pouring. Low retention, minimal lacing. Stale wet grass dominates the nose, which…
Show more
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
2",Preminger,Preminger
11,"gorthaurz(415)
🇭🇷Croatia
2.1August 6, 2017
Pours clear golden, very thin head, that dissapears immediately. Aroma of grains and malt. Taste of grains, corn, cardboard. leaves a sour aftertaste
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Preminger,Preminger
12,"fellebag(1,757)
🇳🇴Oslo, Norway
2.0July 31, 2017
Bottle 33cl. Small white head leaving. Clear light color, good carbonation. Aroma is cardboard, pear, grapes. Taste is rather watery.
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
9",Preminger,Preminger
13,"loscovar(1,398)
Principality of SEALAND
2.3June 30, 2017
Found anywhere in Bihać, Bosnia. Normal lager, locals made drink liters of it. ziveli!
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Preminger,Preminger
14,"Hrc_Cro(1,012)
🇭🇷Zagreb, Croatia
2.1February 20, 2017
0.5l bottle. Clear golden color with small white head. Aroma of grain, malt, cooked vegetables and corn. Taste is bitter, sweet and little metalic.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Preminger,Preminger
0,"Koelschtrinker(28,840)
🇩🇪Brewver-Town, Germany
2.2May 11, 2016
Laff herber Antrunk. Wenig getreidig, süßlich, immerhin süffig. Trocken, zum Ende herber. Erfrischend, extrem langweilig. 8/7/7/6/7/7
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
3
Overall
9",Preminger,Preminger
1,"Cthulhu(1,059)
🇲🇭Marshall Islands
2.1April 4, 2016
Garrafa de 50 cl. Mais uma cerveja de pouca categoria com um nome qualquer em alemão.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Preminger,Preminger
2,"fiulijn(26,305)
🇨🇦Vancouver, Canada
2.1December 20, 2015
Bottle from Bier-Advent Kalender, Switzerland
Blond color. Dry, weak, and vulgar.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Preminger,Preminger
3,"BaroneBirra(534)
🇮🇹Gorizia, Italy
2.4December 9, 2015
Advent calendar #9: pale gold with small medium head. crisp and cardboard aroma. milky malty taste, with skunky and sour notes. not the best discount lager available...
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
7",Preminger,Preminger
4,"BlackBeerPG(2,041)
🇺🇸Darien, United States
2.8November 11, 2015
Taste is semi bitter hops, clean finish, crystal malts.
Gold and clear, lite body with large white foamy…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
13",Preminger,Preminger
5,"Derek881(1,272)
🇺🇸Denver, United States
2.4September 12, 2015
Poured from a tall can purchased in Mostar, Bosnia into a short glass. The beer had a light, clear gold color with a modest foamy white head with decent retention, cling, and…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Preminger,Preminger
6,"Christos(6,100)
🇳🇱Arnhem, Netherlands
2.4August 9, 2015
(Preminger) Bottle 500 ml, shared by vipinvelp, thanks Werner! New country tick!…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Preminger,Preminger
7,"zoucrew102(4,366)
2.2July 29, 2015
Pint can. Bready malt aroma with grassy hop notes. Pours golden colored with thin white head with and lacing. Starts with Bready malt flavors with weak grassy malt flavors.…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
7",Preminger,Preminger
8,"RuneStumo(3,261)
🇳🇴Haugesund, Norway
2.5July 1, 2015
30.06.2015. Systembolaget, Strömstad. Pale yellow colour with white head. Clear. Fresh aromas of grassy hops. Kind of sweet. Flavours of malt as well. Moderate to weak bodt.…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
8",Preminger,Preminger
9,"arsol(1,579)
🇳🇴Norway
2.0May 24, 2015
Gulbrun farge med hvitt skum. Lukter korn og sitrus. Lettdrikkelig lager og ikke noe mer enn det. Grilløl.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
9",Preminger,Preminger
10,"Vighals(7,153)
🇳🇴Sørumsand, Norway
2.0May 24, 2015
Gulbrun klar med lavt tykt hvitt skum. Lukt av sitrus og korn. Bittersøt sitrus. Kort. Med lett bitterhet i avsluttningen.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",Preminger,Preminger
11,"Nisse666(11,840)
🇸🇪Göteborg, Sweden
1.9April 20, 2015
Bottle from webb SB cons 2015-04-19 Duved Bosnia #3
AR: bready, wet bread, baking yeast…
Show more
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
3
Overall
8",Preminger,Preminger
12,"omhper(30,812)
🇸🇪Tyresö, Sweden
2.7April 13, 2015
Bottled, from Systembolaget.  Clear bright golden, rich coarse head. Evident hay aroma. Sweet with medium body and clean, rounded mouthfeel. Sugar, hay and notes of seville orange.…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Preminger,Preminger
13,"pedjav(13)
🇧🇦Banjaluka, Bosnia and Herzegovina
3.6February 26, 2015
Fine formula . Good czech roots for this beer. Nice fresh taste. Good bright colour. No hangover :)
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
3
Overall
14",Preminger,Preminger
14,"veceo(1,361)
Pula, CROATIA
1.9May 1, 2015
Clear golden color, average sized white head. Malty, grainy, slightly fruity, and just slight industrial hoppiness in finish. Light body, soft to average carbonation, but kinda lively on…
Show more
Aroma
3
Appearance
1
Flavor
5
Mouthfeel
1
Overall
9",Preminger,Preminger
0,"Trolleo(5,973)
🇬🇧Manchester, England
2.0January 19, 2015
Clear pale yellow color with some white head. Sweet malty aroma and taste. Really drinkable for a cheap pale lager. 
(0,5l can)
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
1
Overall
10",Preminger,Preminger
1,"mmargarucci(343)
🇨🇭Basel, Switzerland
1.3November 28, 2014
Lacking any real taste or flavor. Not bad taste just no taste at all. Only drinkable if ice cold.
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
3
Overall
4",Preminger,Preminger
2,"maxwelldeux(4,373)
🇺🇸Snohomish, United States
1.0November 8, 2014
Bottle. Pours a clear pale yellow with a moderate head on there. Smells and tastes like cheap corn lagers. Seems like every other export lager ever made. Oy.
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
2",Preminger,Preminger
3,"Travlr(30,304)
🇺🇸No fixed abode, United States
1.8September 20, 2014
Bottle in Sarajevo. Very pale clear yellow color. Aroma of cereal, grass. Taste is very light citrus and straw.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
5",Preminger,Preminger
4,"sarajevo(2)
1.2September 9, 2014
Wow..I have had this in Europe and remembered it differently. Thought it was a typical Euro lager with a bit more pepper and spice which was unusually good for an Eastern Euro…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
3",Preminger,Preminger
