,맥주정보,검색이름,맥주이름
0,"Holmen2(6,860)
🇳🇴Norway
1.3September 2, 2020
Bottle from my dad’s vintage collection, shared with JMD on board Fridtjofen 01.09.20. Clear hay colour. Some white head. Aroma of old hay and rubber. Taste of sweet malt, fig…
Show more
BOTTLE
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
3
Overall
4",Kung,Åbro Kung 5.2%
1,"Holmen1(10,355)
🇳🇴Stavanger, Norway
1.2September 2, 2020
0,33 flaske ombord på Fridtjofen etter en bra innsats på teakkarmene: klar mørk gylden uten skum. Malt, vissent høy og svenske gummistøvler.
BOTTLE
Aroma
3
Appearance
2
Flavor
1
Mouthfeel
2
Overall
4",Kung,Åbro Kung 5.2%
2,"Marduk(14,159)
🇪🇪Reval, Estonia
0.7May 7, 2020
500ml can (Systembolaget Are, Sweden). Pale golden color. Minerals, metallic, slimy, sourish, flat, alcohol in aroma/taste.
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
2",Kung,Åbro Kung 5.2%
3,"Juks(4,446)
🇪🇪Tallinn, Estonia
1.2May 2, 2020
Can at Tallinn Crap Beer Festival. Clear golden colour, white head. Aroma is horrible, sweet burned plastic, mixed with rubber. Taste is malty, sweet, horrible. Medium body,…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
3",Kung,Åbro Kung 5.2%
4,"mzaar(5,673)
🇸🇪Varberg, Sweden
1.2February 10, 2019
Burk. Klar guldfärgad med ett vitt skum. Dofter av malt och säd. Smakinslag av majs, vört och säd. Fruktansvärd.
CAN
Aroma
3
Appearance
3
Flavor
1
Mouthfeel
1
Overall
4",Kung,Åbro Kung 5.2%
5,"remALUS(1,114)
🇱🇹Kaunas, Lithuania
2.7December 2, 2017
Can: 500 ml, Gift: from Swede…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Kung,Åbro Kung 5.2%
6,"jobe977(234)
🇸🇪Töreboda, Sweden
1.9June 26, 2017
Can from Systembolaget (5,2%). Clear golden with medium head. Low aroma. Watery and a bit malty.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Kung,Åbro Kung 5.2%
7,"Turtles(3,710)
🇸🇪Stockholm, Sweden
1.6May 5, 2017
500ml can from Systembolaget. Clear pale golden, medium size white head, some lacing. Sweet grainy aroma, syrup and bread. Sweet malty and grainy taste, boiled vegetables, no…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Kung,Åbro Kung 5.2%
8,"cglans(526)
1.3April 29, 2017
50cl can. clear golden color. small white head. malts, floral, watery, bland. meh
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
3",Kung,Åbro Kung 5.2%
9,"Garlic_of_Doom(677)
🇸🇪Sweden
2.2December 31, 2016
Can, kindly shared by S.
Clear light yellow with a small white creamy head, like…
Show more
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
2
Overall
8",Kung,Åbro Kung 5.2%
10,"Wojo21(394)
🇵🇱Pelplin, Poland
1.2April 3, 2016
Klarowne jasno złociste piwo, początkowo duża piana która szybko znika, nawet jakoś oblepia szkło. W smaku sam słód, nic dobrego ani ciekawego.
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
1
Overall
4",Kung,Åbro Kung 5.2%
