,맥주정보,검색이름,맥주이름,인덱스,편의점
17,"Slipstream(3,208)
🇺🇸United States
2.2May 23, 2018
On tap at Asahi tower in Tokyo. Light, dry dark beer. Called extra cold for some reason.  Lots of carbonation provides most of the excitement.
Aroma
3
Appearance
5
Flavor
4
Mouthfeel
3
Overall
7",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
18,"chinchill(6,207)
🇺🇸United States
3.4May 18, 2018
350 ml can in Japan on Yakushima Island. 
Pours with a very dark brown body.…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
19,"Lore(4,436)
🇭🇺Budapest, Hungary
2.3May 7, 2018
dark brown colour, moderate sized beige head; aroma of unripe plum, berriess and slight apple, toasted rye bread notes, and some minimal…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
20,"Capa(3,988)
🇬🇺Guam
3.1April 20, 2018
Near black with a thin tan head. A bit of sweet cocoa, caramel malt, light vanilla cream, light toffee. Medium but light body. Finish is sweet…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
21,"Cavie(5,657)
🇺🇸Arlington, United States
3.8April 8, 2018
BTBF 2018. Dark brown color. Tan head. Dry malty aroma. Grains with low chocolate notes. Sweet malt flavor. Low grains with an easy…
Show more
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
22,"PubStein5(1)
🇯🇵Nara-city, Japan
1.8February 16, 2018
Not so strong 
As everybody says…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
5",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
23,"flying_pig(2,382)
🇮🇪Ireland
3.4November 13, 2017
334ml Bottle from Kujiraya, Shibuya, Tokyo (¥450):…
Show more
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
24,"MBlessing(3,698)
🇩🇪Württemberg, Germany
2.1November 2, 2017
Schwarzes Bier schaum Ok, kaum Geruch etwas malz, sehr wässriger Geschmack etwas malz leichte röstnoten süß, ne brauch ich nicht
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
25,"DrNosha(5,865)
🇩🇪Württemberg, Germany
2.2November 2, 2017
0,33lDose auf Guam. Unser letztes Bier hier? Schwarzes Bier. Brauner Schaum. Wenig Aroma. Malz, Melasse, Karamell. Geschmack etwas…
Show more
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
2
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
26,"tiong(12,338)
🇫🇮Espoo, Finland
3.0October 4, 2017
Draught @ Mount Takao Beer Mount, Tokyo. Okay, slightly sweetish and earthy dark lager with hints of roastiness.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
